date,cdcflu,influenzatypea,fluduration,flufever,treatingflu,braunthermoscan,feverflu,flurecovery,fluvscold,coldorflu,treatingtheflu,oscillococcinum,fluversuscold,fluremedies,coldversusflu,humantemperature,contagiousflu,typeainfluenza,fluorcold,flucontagious,thermoscan,flucough,influenzaincubationperiod,durationofflu,coldvsflu,influenzaa,lowbodytemperature,fluheadache,sdate
1/4/2004,.99699998,1.617,1.4630001,2.2379999,2.1210001,4.007,3.5020001,.79000002,1.729,.87099999,2.3050001,1.238,2.1340001,1.8789999,2.7360001,.094999999,-.62900001,.80500001,2.096,.37099999,2.9170001,-.528,2.6359999,-.65600002,.33899999,.27599999,3.7030001,2.151,04jan2004
1/11/2004,.331,.28400001,.41999999,.287,1.979,.847,1.008,-.685,-.72500002,.177,.69400001,.53500003,1.6109999,.22499999,-.86199999,-.193,-.62900001,-.55599999,-.17900001,-.119,1.893,.56999999,-.58399999,-.65600002,.178,-.127,2.017,-.64499998,11jan2004
1/18/2004,.147,-.086999997,-.0089999996,.509,1.574,1.592,2.3099999,-.685,-.72500002,.090999998,-.764,.30000001,-.68400002,.0060000001,-.86199999,-.98000002,-.62900001,-.55599999,-.043000001,-.204,1.9579999,.74199998,-.58399999,-.65600002,-.029999999,-.36000001,1.273,-.64499998,18jan2004
1/25/2004,.052999999,-.63099998,-.74199998,.47299999,-.72299999,1.615,1.256,.472,1.201,-.52600002,-.764,-.292,-.68400002,-.227,-.86199999,-.15099999,-.62900001,-.55599999,.347,-.41299999,2.125,-.528,-.58399999,-.65600002,.0099999998,-.43000001,1.028,-.64499998,25jan2004
2/1/2004,-.215,-.169,-.101,-.759,-.72299999,1.834,-.986,-.685,-.72500002,-.33899999,.289,-.089000002,-.68400002,-.13,-.86199999,.30399999,-.62900001,-.55599999,-.027000001,-.53799999,2.71,-.528,1.072,-.65600002,-.28400001,-.39500001,.68400002,-.64499998,01feb2004
2/8/2004,-.28400001,-.63099998,-.74199998,-.759,-.72299999,.211,-.986,-.685,-.72500002,-.39399999,-.764,-.396,-.68400002,-.33899999,-.86199999,.097000003,-.62900001,.233,.329,-.47499999,.509,.34099999,-.58399999,-.65600002,-.574,-.44400001,.13699999,-.64499998,08feb2004
2/15/2004,-.34599999,.067000002,.063000001,-.759,-.72299999,.072999999,-.986,-.685,1.941,-.31999999,-.764,-.454,-.68400002,-.088,-.86199999,1.136,-.62900001,-.55599999,-.89600003,-.417,1.14,.51800001,-.58399999,-.65600002,-.44600001,-.50300002,1.972,-.64499998,15feb2004
2/22/2004,-.53100002,-.63099998,-.74199998,-.182,-.72299999,1.13,-.986,-.685,-.72500002,-.65399998,.477,-.48699999,-.68400002,.215,-.86199999,.39700001,-.62900001,.26899999,-.184,-.46200001,1.9630001,-.528,-.58399999,-.65600002,-.228,-.484,.61699998,-.64499998,22feb2004
2/29/2004,-.611,-.63099998,-.74199998,-.759,-.72299999,.78200001,-.986,-.685,-.72500002,-.66000003,-.764,-.28099999,-.68400002,-.064999998,-.86199999,-1.665,-.62900001,-.55599999,-.89600003,-.75999999,.045000002,-.528,-.58399999,-.65600002,-.366,-.46599999,1.1109999,-.64499998,29feb2004
3/7/2004,-.58099997,-.63099998,-.74199998,-.759,-.72299999,2.1329999,-.986,-.685,-.72500002,-.49399999,-.764,-.47600001,-.68400002,-.60600001,-.86199999,-1.567,-.62900001,-.55599999,-.89600003,-.55800003,1.385,-.528,-.58399999,-.65600002,-.89200002,-.48100001,1.467,-.64499998,07mar2004
3/14/2004,-.55500001,-.63099998,-.146,.22499999,-.72299999,.477,-.986,-.685,-.72500002,-.048999999,-.764,-.55299997,-.68400002,-.73900002,-.86199999,-1.091,-.62900001,-.55599999,.048,-.55299997,.47499999,-.528,-.58399999,-.65600002,-.89200002,-.53500003,1.554,-.64499998,14mar2004
3/21/2004,-.73199999,-.63099998,-.74199998,-.759,-.72299999,-.57499999,-.986,-.685,-.72500002,-1.25,-.764,-.64700001,-.68400002,-.257,-.86199999,-.249,-.62900001,-.55599999,.44,-.57300001,.23999999,-.528,-.58399999,-.65600002,-.89200002,-.55599999,.65799999,-.64499998,21mar2004
3/28/2004,-.81800002,-.63099998,-.74199998,.079000004,-.72299999,-1.216,-.986,-.685,-.72500002,-.57300001,-.764,-.465,-.68400002,-.662,-.86199999,.071999997,-.62900001,-.55599999,-.89600003,-.634,-.65200001,-.528,-.58399999,-.65600002,-.89200002,-.53299999,.082000002,-.64499998,28mar2004
4/4/2004,-.89099997,-.63099998,-.74199998,.075999998,-.72299999,-.66000003,-.986,-.685,-.72500002,-1.25,-.764,-.56099999,-.68400002,-.59600002,-.86199999,-.27399999,-.62900001,-.55599999,-.89600003,-.616,.14399999,-.528,-.58399999,-.65600002,-.89200002,-.45500001,1.001,-.64499998,04apr2004
4/11/2004,-.87599999,-.63099998,-.025,-.759,-.72299999,-1.209,-.986,-.685,-.72500002,-.435,-.764,-.83499998,-.68400002,-.70700002,-.86199999,-1.446,-.62900001,-.55599999,-.89600003,-.75999999,-.83600003,-.528,-.58399999,-.65600002,-.89200002,-.542,-.713,-.64499998,11apr2004
4/18/2004,-.91500002,-.63099998,-.74199998,-.759,-.72299999,-.55299997,-.986,-.685,-.72500002,-.85100001,-.764,-.70200002,-.68400002,-1.132,-.86199999,-1.21,-.62900001,-.55599999,-.89600003,-.65399998,-.21799999,-.528,-.58399999,-.65600002,-.89200002,-.49000001,-.41499999,-.64499998,18apr2004
