Data for STab 3,,,,,
Based on Google Correlate Returns for Data Series,,,,,
,,,,,
Search Term,Ranking for GFT Data,Ranking for CDC Data,Ranking for CDC Data Pre-2009,Ranking for GFT Data Post-2011,Type of Search
influenza type a,,1,1,,Term for Influenza
flu duration,,2,3,37,General Information
flu fever,,3,5,39,Flu Symptoms
treating flu,,4,23,,Remedies/Treatments
braun thermoscan,,5,40,,Flu Diagnosis
fever flu,,6,33,,Flu Symptoms
flu recovery,,7,10,34,General Information
flu vs. cold,,8,24,,Flu Diagnosis
cold or flu,2,9,11,18,Flu Diagnosis
treating the flu,,10,,,Remedies/Treatments
oscillococcinum,29,11,34,,Related Diseases
flu versus cold,,12,49,,Flu Diagnosis
flu remedies,6,13,35,23,Remedies/Treatments
cold versus flu,,14,,,Flu Diagnosis
human temperature,,15,26,,Flu Diagnosis
contagious flu,17,16,31,,General Information
type a influenza,,17,46,,Term for Influenza
flu or cold,3,18,13,48,Flu Diagnosis
flu contagious,1,19,4,8,General Information
thermoscan,,20,,,Flu Diagnosis
flu cough,,21,,,Flu Symptoms
influenza incubation period,,22,,,General Information
duration of flu,40,23,,,General Information
cold vs flu,8,24,39,24,Flu Diagnosis
influenza a,,25,,,Term for Influenza
low body temperature,,26,,,Flu Symptoms
flu headache,,27,,42,Flu Symptoms
flu complications,,28,,,Complications
flu stomach,,29,,,Flu Symptoms
cold and flu symptoms,,30,,,Flu Symptoms
flu and fever,,31,,31,Flu Symptoms
cold vs. flu,,32,,,Flu Diagnosis
treatment for flu,9,33,25,,Remedies/Treatments
treatment of flu,,34,,,Remedies/Treatments
ear thermometer,,35,,,Flu Diagnosis
how long does the flu last?,,36,,,General Information
flu in children,,37,,,General Information
influenza incubation,,38,,,General Information
flu length,,39,,,General Information
length of flu,,40,,,General Information
type a flu,,41,,,Term for Influenza
getting over the flu,,42,,29,Remedies/Treatments
treat flu,7,43,16,,Remedies/Treatments
robitussin ac,,44,,,Remedies/Treatments
treatment for the flu,48,45,,,Remedies/Treatments
influenza symptoms,,46,38,,General Information
what is influenza,,47,,,General Information
flu care,,48,,,Remedies/Treatments
expectorant,,49,,,Remedies/Treatments
cold symptoms,,50,,,Related Diseases
flu germs,33,,,,Term for Influenza
cure flu,27,,,,Remedies/Treatments
how to treat flu,18,,,,Remedies/Treatments
how to get rid of the flu,49,,,1,Remedies/Treatments
get rid of the flu,36,,45,2,Remedies/Treatments
fever reducer,,,22,,Remedies/Treatments
i have the flu,37,,47,26,General Information
flu treatment,,,20,,Remedies/Treatments
dangerous fever,,,27,,Flu Symptoms
remedies for the flu,12,,,7,Remedies/Treatments
medicine for the flu,25,,,5,Remedies/Treatments
how long does it take to get the flu,,,,33,General Information
how to cure the flu,38,,,19,Remedies/Treatments
flu in toddlers,,,,27,General Information
symptoms of flu,13,,2,,General Information
treat the flu,4,,6,36,Remedies/Treatments
bronchitis,,,50,,Related Diseases
reduce fever,,,19,,Remedies/Treatments
when is the flu contagious,32,,,28,General Information
flu a,,,,35,Term for Influenza
the flu,20,,28,,Term for Influenza
home remedies for flu,,,,14,Remedies/Treatments
flu medicine,19,,12,3,Remedies/Treatments
influenza a and b,23,,30,,Term for Influenza
medicine for flu,34,,,,Remedies/Treatments
taking temperature,,,48,,Flu Diagnosis
cure the flu,16,,,13,Remedies/Treatments
signs of the flu,,,8,,Flu Diagnosis
flu and cold,10,,,,Flu Diagnosis
do i have the flu,28,,,,Flu Diagnosis
flu treatments,,,37,,Remedies/Treatments
how long is the flu contagious,46,,,,General Information
is flu contagious,30,,15,38,General Information
how long does the flu last,,,32,,General Information
fight the flu,44,,,,Remedies/Treatments
normal body,,,14,,Flu Diagnosis
home remedies for the flu,39,,,11,Remedies/Treatments
best flu medicine,,,,20,Remedies/Treatments
flu relief,,,,44,Remedies/Treatments
signs of flu,,,42,,Flu Diagnosis
symptoms of influenza,41,,,,Flu Diagnosis
how to treat the flu,5,,7,40,Remedies/Treatments
flu swab,,,,10,Flu Diagnosis
how long is flu contagious,,,36,47,General Information
what to do for the flu,42,,,,Remedies/Treatments
how long are you contagious,,,,9,General Information
how long am i contagious,,,,15,General Information
body temperature,,,17,,Flu Symptoms
flu home remedies,24,,,21,Remedies/Treatments
normal body temperature,,,44,,Flu Symptoms
get rid of flu,,,,4,Remedies/Treatments
over the counter flu medicine,31,,,50,Remedies/Treatments
the flu virus,43,,,,General Information
how to get rid of flu,,,,16,Remedies/Treatments
is the flu contagious,35,,18,32,Remedies/Treatments
how long do flu symptoms last,,,,41,General Information
cold and flu,15,,,43,Flu Diagnosis
pregnant with the flu,,,,22,Complications
incubation period for the flu,47,,,,General Information
exposure to flu,50,,,,General Information
how long does flu last,21,,43,,General Information
flu vs cold,11,,21,,Flu Diagnosis
natural flu remedies,45,,,,Remedies/Treatments
symptoms of the flu,,,9,,Flu Diagnosis
am i contagious,,,,6,General Information
how long flu last,,,,45,General Information
difference between cold and flu,22,,,,Flu Diagnosis
flu how long,,,,25,General Information
flu test,,,,49,Flu Diagnosis
how to get over the flu,26,,,17,Remedies/Treatments
best medicine for flu,,,,46,Remedies/Treatments
remedies for flu,14,,29,12,Remedies/Treatments
fever cough,,,41,,Flu Symptoms
flu without fever,,,,30,Flu Symptoms
