Google Flu Trends weekly influenza activity estimates for the world
Copyright 2009 Google Inc.

Exported data may be used for any purpose, subject to the Google Terms of Service (http://www.google.com/accounts/TOS?hl=en_US).
If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Flu Trends (http://www.google.org/flutrends)".

Each week begins on the Sunday (Pacific Time) indicated for the row
Data for the current week will be updated each day until Saturday (Pacific Time)
Note: To open these files in a spreadsheet application, we recommend you save each text file as a CSV spreadsheet.
For more information, please visit http://www.google.org/flutrends)

Date,Australia,Austria,Belgium,Bulgaria,Canada,France,Germany,Hungary,Japan,Mexico,Netherlands,New Zealand,Norway,Poland,Russia,Spain,Sweden,Switzerland,Ukraine,United States
2003-09-28,,515,47,,1041,44,685,,2,683,12,,,,,19,,15,,902
2003-10-05,,752,46,,1225,38,873,,4,707,13,,,,,29,,18,,952
2003-10-12,,720,43,,1211,42,992,,5,800,12,,,,,38,,26,,1092
2003-10-19,,727,63,,1105,67,1084,,8,858,13,,,,,47,,37,,1209
2003-10-26,,710,60,,1360,101,1025,,9,755,13,,,,,80,,35,,1249
2003-11-02,,608,55,,1560,66,940,,12,843,14,,,,,129,,38,,1374
2003-11-09,,661,56,,1720,194,920,,15,957,16,,,,,137,,50,,1702
2003-11-16,,708,79,,2287,341,985,,23,894,16,,,,,152,,52,,2148
2003-11-23,,822,246,,2627,1403,850,,23,880,21,,,,,168,,54,,2968
2003-11-30,,652,881,,3114,1495,938,,33,979,72,,,,,92,,59,,3524
2003-12-07,,719,910,,4651,682,1112,,43,1025,142,,,,,83,,74,,5389
2003-12-14,,862,883,,6294,469,1074,,62,1242,165,,,,,64,,133,,7276
2003-12-21,,824,311,,5941,300,863,,80,1346,185,,,,,44,,153,,8196
2003-12-28,,898,179,,4545,190,1021,,92,1264,89,,,,,37,,280,,5250
2004-01-04,,880,108,,2956,87,1152,,151,1108,55,,,,,41,,242,,3154
2004-01-11,,800,71,,2203,52,1048,,254,1026,35,,,,,25,,133,,2057
2004-01-18,,973,75,,1426,32,959,,427,977,22,,,,,18,,53,,1616
2004-01-25,,998,70,,1328,35,1025,,704,976,22,,,,,18,,46,,1396
2004-02-01,,1016,65,,1104,37,1036,,731,932,16,,,,,20,,41,,1227
2004-02-08,,854,64,,1384,30,1000,,510,939,18,,,,,17,,35,,1186
2004-02-15,,824,56,,1363,31,1013,,314,913,22,,,,,13,,36,,1162
2004-02-22,,738,44,,1388,33,1122,,155,974,13,,,,,13,,35,,1118
2004-02-29,,726,41,,1393,20,1099,,82,944,15,,,,,11,,40,,989
2004-03-07,,653,78,,1519,27,1156,,52,1040,13,,,,,11,,37,,919
2004-03-14,,600,88,,1329,20,963,,26,1028,14,,,,,12,,28,,846
2004-03-21,,628,64,,1427,18,846,,17,1021,17,,,,,16,,26,,883
2004-03-28,,636,48,,1219,20,702,,11,880,10,,,,,18,,28,,808
2004-04-04,,569,31,,1071,11,676,,8,871,11,,,,,13,,24,,831
2004-04-11,,550,25,,1163,13,606,,7,908,12,,,,,11,,21,,796
2004-04-18,,531,21,,1209,8,625,,6,838,15,,,,,11,,19,,719
2004-04-25,,531,28,,1027,8,491,,5,828,11,,,,,10,,22,,722
