Week,amoxicillin,early signs of the flu,fever,influenza a,pnumonia,robitussin,strep throat,symptoms of bronchitis
1/4/2004,40,0,45,17,0,40,38,0
1/11/2004,31,0,46,10,0,34,43,0
1/18/2004,30,0,49,9,0,36,41,0
1/25/2004,29,0,52,9,0,44,41,0
2/1/2004,21,0,48,9,0,43,45,0
2/8/2004,26,0,47,9,0,26,52,0
2/15/2004,26,0,51,9,0,26,46,0
2/22/2004,29,0,48,0,0,35,49,0
2/29/2004,33,0,47,0,0,26,47,0
3/7/2004,32,0,45,0,0,31,49,0
3/14/2004,29,0,52,0,0,36,52,0
3/21/2004,30,0,51,0,0,35,46,0
3/28/2004,27,0,50,0,0,22,45,0
4/4/2004,27,0,50,0,0,30,54,42
4/11/2004,29,0,46,0,0,20,42,0
4/18/2004,30,0,46,0,0,31,48,0
4/25/2004,28,0,46,0,0,21,40,0
5/2/2004,31,0,46,0,0,21,43,0
5/9/2004,21,0,47,0,0,13,39,0
5/16/2004,27,0,44,0,0,25,38,0
5/23/2004,24,0,43,0,0,31,40,0
5/30/2004,32,0,43,0,0,18,38,0
6/6/2004,25,0,41,0,0,25,32,0
6/13/2004,24,0,37,0,0,17,35,0
6/20/2004,24,0,39,0,0,24,28,0
6/27/2004,29,0,38,0,0,15,28,0
7/4/2004,25,0,43,0,0,14,32,0
7/11/2004,21,0,44,0,0,18,27,0
7/18/2004,30,0,40,0,0,25,29,0
7/25/2004,21,0,42,0,0,23,29,0
8/1/2004,19,0,46,0,0,19,21,0
8/8/2004,24,0,41,0,0,19,26,0
8/15/2004,19,0,39,0,0,24,22,0
8/22/2004,26,0,37,0,0,19,29,0
8/29/2004,24,0,38,0,0,21,30,0
9/5/2004,34,0,40,0,0,24,26,0
9/12/2004,25,0,38,0,0,25,34,0
9/19/2004,26,0,39,0,0,29,39,0
9/26/2004,24,0,42,0,0,29,30,0
10/3/2004,25,0,42,0,0,30,27,0
10/10/2004,25,0,41,0,0,36,32,0
10/17/2004,26,0,46,0,57,22,38,0
10/24/2004,25,0,44,0,58,31,36,0
10/31/2004,30,0,42,0,60,28,40,0
11/7/2004,23,0,41,0,61,28,42,0
11/14/2004,38,0,43,0,62,40,43,37
11/21/2004,33,0,44,0,68,27,39,37
11/28/2004,28,0,43,0,73,33,46,37
12/5/2004,36,0,47,6,78,38,46,37
12/12/2004,30,0,44,6,82,39,44,0
12/19/2004,41,0,41,7,86,46,51,0
12/26/2004,40,0,46,7,90,54,55,0
1/2/2005,31,0,52,8,52,45,48,0
1/9/2005,30,0,52,9,60,31,44,0
1/16/2005,34,0,49,14,50,54,48,0
1/23/2005,39,0,52,14,54,51,49,38
1/30/2005,35,0,53,28,68,51,58,37
2/6/2005,43,0,56,19,100,52,67,28
2/13/2005,40,0,58,23,57,45,64,51
2/20/2005,47,0,56,19,87,51,56,33
2/27/2005,35,0,57,12,59,46,60,52
3/6/2005,42,0,58,13,70,37,60,27
3/13/2005,41,0,61,6,58,31,57,27
3/20/2005,38,0,60,7,58,32,62,27
3/27/2005,40,0,66,8,58,31,53,27
4/3/2005,33,0,83,8,0,39,47,0
4/10/2005,37,0,70,9,0,37,53,0
4/17/2005,30,0,65,5,0,23,47,0
4/24/2005,35,0,64,0,0,29,52,0
5/1/2005,31,0,54,0,0,25,46,0
5/8/2005,34,0,51,0,0,25,41,32
5/15/2005,35,0,50,0,0,23,49,0
5/22/2005,28,0,50,0,0,26,44,0
5/29/2005,38,0,48,0,0,27,45,0
6/5/2005,34,0,47,0,0,18,42,0
6/12/2005,27,0,45,0,0,17,43,0
6/19/2005,25,0,45,0,0,28,41,0
6/26/2005,31,0,44,0,0,18,35,0
7/3/2005,31,0,45,0,0,21,37,0
7/10/2005,22,0,44,0,0,19,38,0
7/17/2005,24,0,41,0,0,27,32,0
7/24/2005,30,0,43,0,46,17,31,0
7/31/2005,31,0,43,0,68,18,28,0
8/7/2005,28,0,42,0,0,23,37,0
8/14/2005,25,0,39,0,0,18,33,0
8/21/2005,23,0,46,0,0,20,30,0
8/28/2005,26,0,47,0,0,23,33,0
9/4/2005,31,0,48,0,0,15,35,0
9/11/2005,31,0,48,0,0,18,32,0
9/18/2005,33,0,46,0,0,28,36,0
9/25/2005,30,0,46,0,0,26,35,0
10/2/2005,36,0,48,0,0,31,35,25
10/9/2005,25,0,48,9,0,32,37,27
10/16/2005,28,0,46,7,38,33,42,28
10/23/2005,27,0,46,8,42,30,41,29
10/30/2005,29,0,44,8,45,30,46,32
11/6/2005,40,0,47,7,43,32,46,20
11/13/2005,32,0,46,9,43,34,48,20
11/20/2005,38,0,44,7,63,39,43,20
11/27/2005,31,0,47,7,60,39,50,20
12/4/2005,33,0,44,6,60,30,47,38
12/11/2005,28,0,47,5,60,43,47,25
12/18/2005,42,0,44,9,52,49,57,26
12/25/2005,46,0,48,10,45,42,55,26
1/1/2006,41,0,50,5,56,49,54,27
1/8/2006,34,0,49,7,40,45,47,28
1/15/2006,40,0,50,9,47,43,45,29
1/22/2006,39,0,47,13,51,34,54,31
1/29/2006,36,0,52,9,54,39,60,32
2/5/2006,38,0,51,8,38,30,58,51
2/12/2006,40,0,55,11,38,39,61,35
2/19/2006,40,0,56,15,73,36,58,28
2/26/2006,44,0,58,15,59,40,65,46
3/5/2006,35,0,53,14,49,38,60,27
3/12/2006,36,0,50,15,38,32,60,32
3/19/2006,40,0,57,15,34,24,59,29
3/26/2006,36,0,52,12,34,20,61,28
4/2/2006,34,0,54,15,42,30,56,31
4/9/2006,34,0,52,9,51,28,56,23
4/16/2006,29,0,49,6,42,27,50,20
4/23/2006,32,0,53,9,42,27,49,21
4/30/2006,32,0,51,5,33,23,52,22
5/7/2006,28,0,52,4,33,21,50,20
5/14/2006,34,0,51,4,36,21,50,19
5/21/2006,31,0,49,4,39,18,51,19
5/28/2006,34,0,52,5,41,20,43,19
6/4/2006,41,0,45,0,44,25,42,19
6/11/2006,36,0,45,0,0,20,43,19
6/18/2006,35,0,45,0,0,16,39,0
6/25/2006,36,0,45,0,0,17,35,0
7/2/2006,30,0,47,0,0,18,34,0
7/9/2006,33,0,42,0,0,13,30,0
7/16/2006,29,0,43,0,0,16,32,0
7/23/2006,26,0,42,0,0,17,34,0
7/30/2006,26,0,43,0,0,15,33,0
8/6/2006,33,0,43,0,0,16,32,0
8/13/2006,30,0,40,0,0,14,31,0
8/20/2006,27,0,44,0,0,13,35,17
8/27/2006,25,0,43,0,34,21,32,17
9/3/2006,25,0,44,0,39,16,36,17
9/10/2006,25,0,41,0,43,27,38,29
9/17/2006,31,0,47,0,35,28,42,29
9/24/2006,34,0,46,3,35,34,41,16
10/1/2006,38,0,50,5,35,25,44,21
10/8/2006,38,0,48,6,37,24,41,19
10/15/2006,32,0,44,4,39,28,39,19
10/22/2006,35,0,46,4,41,31,43,20
10/29/2006,36,0,46,4,28,31,45,22
11/5/2006,31,0,45,4,27,31,49,24
11/12/2006,38,0,47,5,35,27,49,15
11/19/2006,36,0,43,3,40,29,44,24
11/26/2006,33,0,44,7,40,36,46,25
12/3/2006,37,0,48,6,36,32,50,25
12/10/2006,34,0,49,4,36,34,52,25
12/17/2006,38,0,48,5,59,37,58,33
12/24/2006,51,0,49,5,60,44,59,34
12/31/2006,46,0,48,6,69,48,57,35
1/7/2007,36,0,51,5,49,44,53,34
1/14/2007,36,0,54,7,42,37,52,17
1/21/2007,40,0,60,13,45,41,62,30
1/28/2007,41,0,58,11,48,43,59,24
2/4/2007,40,0,60,18,49,39,66,36
2/11/2007,42,0,61,18,71,44,60,42
2/18/2007,41,0,60,16,59,35,66,43
2/25/2007,41,0,64,12,41,33,62,34
3/4/2007,36,0,61,10,41,39,58,32
3/11/2007,39,0,60,11,33,24,56,21
3/18/2007,33,0,56,9,33,32,58,27
3/25/2007,34,0,55,7,22,28,54,30
4/1/2007,38,0,54,5,50,27,56,15
4/8/2007,36,0,52,4,24,24,53,28
4/15/2007,35,0,51,5,21,25,48,15
4/22/2007,35,0,50,5,32,24,50,18
4/29/2007,39,0,48,3,21,24,49,14
5/6/2007,38,0,52,3,21,21,46,13
5/13/2007,37,0,50,3,21,21,46,13
5/20/2007,38,0,48,3,22,22,45,20
5/27/2007,33,0,48,3,24,20,47,36
6/3/2007,34,0,49,3,24,22,41,16
6/10/2007,29,0,50,3,28,16,42,16
6/17/2007,34,0,48,4,31,17,43,16
6/24/2007,34,0,44,4,33,15,36,13
7/1/2007,26,0,44,4,22,15,37,13
7/8/2007,31,0,44,3,22,16,34,13
7/15/2007,32,0,44,3,30,18,34,13
7/22/2007,31,0,41,3,24,14,32,14
7/29/2007,31,0,45,3,24,16,32,14
8/5/2007,30,0,45,3,24,17,30,14
8/12/2007,31,0,45,2,31,19,29,13
8/19/2007,32,0,44,2,37,21,33,16
8/26/2007,33,0,44,2,26,19,35,15
9/2/2007,29,0,45,2,26,19,30,15
9/9/2007,34,0,44,2,22,23,36,15
9/16/2007,32,0,45,3,27,28,36,14
9/23/2007,35,0,44,4,31,28,39,20
9/30/2007,35,0,48,6,36,34,45,16
10/7/2007,35,0,44,3,45,30,38,17
10/14/2007,35,0,45,5,32,37,41,14
10/21/2007,34,0,47,4,48,26,41,20
10/28/2007,34,0,50,6,30,38,46,21
11/4/2007,40,0,44,4,41,35,48,22
11/11/2007,38,0,48,6,51,41,52,31
11/18/2007,40,0,48,5,46,31,44,15
11/25/2007,39,0,47,6,41,27,45,21
12/2/2007,39,0,46,5,35,30,43,21
12/9/2007,33,0,45,5,23,30,46,25
12/16/2007,41,0,46,5,32,35,49,24
12/23/2007,54,0,47,6,47,41,51,28
12/30/2007,49,0,48,5,58,48,50,26
1/6/2008,42,0,50,7,66,33,51,31
1/13/2008,40,0,50,9,34,35,47,27
1/20/2008,46,0,56,11,34,41,54,27
1/27/2008,39,0,56,18,66,39,61,32
2/3/2008,47,0,63,29,52,44,65,55
2/10/2008,48,0,65,33,68,44,66,35
2/17/2008,48,0,61,37,73,44,63,44
2/24/2008,49,0,62,28,68,44,63,33
3/2/2008,44,0,58,31,51,40,60,34
3/9/2008,43,0,57,25,47,34,58,25
3/16/2008,42,0,51,15,53,33,55,27
3/23/2008,42,0,54,10,37,31,52,19
3/30/2008,42,0,53,8,34,27,49,26
4/6/2008,40,0,53,6,31,26,47,21
4/13/2008,32,0,53,4,36,28,52,18
4/20/2008,37,0,52,5,49,21,49,20
4/27/2008,39,0,51,4,28,22,48,16
5/4/2008,34,0,53,3,31,25,45,16
5/11/2008,36,0,50,4,28,18,41,10
5/18/2008,35,0,48,5,32,19,43,13
5/25/2008,34,0,52,3,27,18,44,12
6/1/2008,33,0,45,3,24,16,39,9
6/8/2008,34,0,49,3,20,16,36,11
6/15/2008,34,0,45,3,22,19,37,12
6/22/2008,31,0,46,2,22,18,30,9
6/29/2008,27,0,47,2,22,18,32,9
7/6/2008,32,0,44,2,22,17,33,9
7/13/2008,28,0,44,2,29,18,29,9
7/20/2008,27,0,42,2,17,17,28,9
7/27/2008,29,0,43,2,17,14,28,12
8/3/2008,31,0,41,3,27,12,27,11
8/10/2008,32,0,40,2,45,14,29,11
8/17/2008,29,0,42,2,22,15,31,10
8/24/2008,36,0,42,2,23,20,33,10
8/31/2008,36,0,41,2,31,21,36,9
9/7/2008,38,0,46,3,22,32,37,11
9/14/2008,37,0,44,3,25,26,39,13
9/21/2008,37,0,45,3,14,31,39,25
9/28/2008,36,0,44,4,19,27,41,23
10/5/2008,36,0,44,5,28,28,38,23
10/12/2008,40,0,45,4,28,33,37,19
10/19/2008,38,0,47,4,16,37,45,24
10/26/2008,36,0,47,4,34,28,44,19
11/2/2008,33,0,44,3,27,31,43,31
11/9/2008,39,0,47,6,25,33,44,23
11/16/2008,40,0,45,5,28,33,51,18
11/23/2008,41,0,44,3,28,33,46,26
11/30/2008,42,0,46,4,39,37,51,20
12/7/2008,40,0,47,7,33,41,50,18
12/14/2008,44,0,46,3,29,37,48,19
12/21/2008,48,0,44,4,19,48,47,14
12/28/2008,51,0,43,2,19,46,49,27
1/4/2009,44,0,49,4,25,39,52,27
1/11/2009,42,0,50,6,32,43,51,24
1/18/2009,45,0,50,8,25,31,52,31
1/25/2009,49,0,52,9,26,40,56,34
2/1/2009,48,0,55,13,31,40,62,35
2/8/2009,52,0,59,16,36,48,65,36
2/15/2009,57,0,57,20,30,41,62,36
2/22/2009,48,0,58,18,33,48,64,37
3/1/2009,56,0,56,22,47,42,61,33
3/8/2009,48,0,54,18,40,40,59,34
3/15/2009,51,0,55,15,30,29,57,20
3/22/2009,43,0,54,13,28,33,56,34
3/29/2009,45,0,52,9,20,29,53,30
4/5/2009,49,0,48,9,33,31,51,24
4/12/2009,44,0,50,6,19,31,51,25
4/19/2009,45,0,52,12,16,31,51,17
4/26/2009,41,0,61,100,30,27,51,28
5/3/2009,42,0,53,57,21,30,47,28
5/10/2009,42,0,52,30,14,28,49,14
5/17/2009,47,0,52,27,26,25,47,17
5/24/2009,43,0,51,28,26,28,43,26
5/31/2009,43,0,50,26,26,24,41,27
6/7/2009,43,0,51,35,0,22,40,24
6/14/2009,41,0,50,34,0,19,39,16
6/21/2009,37,0,47,31,0,24,34,18
6/28/2009,41,0,47,30,0,21,34,20
7/5/2009,41,0,47,22,0,22,33,9
7/12/2009,39,0,45,22,0,20,32,20
7/19/2009,35,0,43,21,19,21,29,15
7/26/2009,42,0,45,25,13,16,29,11
8/2/2009,38,0,44,29,13,17,30,18
8/9/2009,46,0,45,22,13,23,29,23
8/16/2009,44,0,45,30,13,23,34,19
8/23/2009,42,0,47,27,17,20,36,14
8/30/2009,43,0,49,34,17,29,34,20
9/6/2009,45,0,52,31,18,33,37,28
9/13/2009,47,0,56,33,19,34,41,38
9/20/2009,49,0,55,38,15,38,43,51
9/27/2009,49,0,61,43,29,43,44,43
10/4/2009,48,0,63,50,25,44,47,48
10/11/2009,50,0,61,58,21,43,47,39
10/18/2009,54,0,68,66,35,56,49,63
10/25/2009,53,0,70,50,22,56,51,51
11/1/2009,49,0,63,40,18,54,51,54
11/8/2009,50,0,58,33,18,50,48,65
11/15/2009,49,0,55,25,27,52,50,54
11/22/2009,46,0,50,18,25,41,43,35
11/29/2009,52,0,49,15,25,51,45,48
12/6/2009,49,0,48,15,22,42,46,46
12/13/2009,55,0,47,8,18,45,47,36
12/20/2009,56,0,47,4,18,45,45,38
12/27/2009,65,0,48,6,20,45,45,44
1/3/2010,52,0,48,7,15,42,46,34
1/10/2010,51,0,50,7,13,37,44,38
1/17/2010,53,0,49,8,15,37,47,29
1/24/2010,52,0,50,7,14,44,50,35
1/31/2010,54,0,52,9,21,36,53,31
2/7/2010,53,0,51,7,31,41,56,44
2/14/2010,60,0,55,5,18,39,58,37
2/21/2010,55,0,52,7,18,41,57,58
2/28/2010,62,0,53,9,11,43,58,38
3/7/2010,56,0,53,10,29,34,56,40
3/14/2010,57,0,53,7,21,33,59,40
3/21/2010,53,0,53,10,17,36,56,35
3/28/2010,53,0,50,9,15,31,52,33
4/4/2010,51,0,51,9,13,27,50,41
4/11/2010,51,0,52,10,11,32,52,25
4/18/2010,48,0,51,10,11,32,51,29
4/25/2010,45,0,54,8,13,28,52,32
5/2/2010,44,0,53,7,15,23,51,28
5/9/2010,44,0,53,6,15,27,50,27
5/16/2010,46,0,54,6,15,25,53,33
5/23/2010,49,0,53,7,15,23,47,21
5/30/2010,50,0,49,4,15,27,48,21
6/6/2010,44,0,47,3,15,25,43,16
6/13/2010,44,0,47,5,15,21,38,17
6/20/2010,44,0,48,4,15,22,40,16
6/27/2010,47,0,47,3,13,21,36,23
7/4/2010,44,0,49,4,17,19,39,23
7/11/2010,41,0,50,2,21,18,36,19
7/18/2010,43,0,51,2,25,21,35,15
7/25/2010,45,0,50,3,16,20,35,18
8/1/2010,42,0,51,3,13,17,35,12
8/8/2010,44,0,48,3,12,18,35,15
8/15/2010,44,0,48,3,12,22,36,11
8/22/2010,50,0,48,3,14,21,36,21
8/29/2010,44,0,50,4,17,24,41,20
9/5/2010,46,0,50,4,13,28,41,23
9/12/2010,46,0,49,5,15,34,49,32
9/19/2010,49,0,50,4,15,35,45,31
9/26/2010,41,0,48,5,11,34,48,31
10/3/2010,47,0,49,7,14,30,46,31
10/10/2010,48,0,48,5,23,35,49,31
10/17/2010,49,0,49,4,30,42,55,28
10/24/2010,47,0,51,6,14,42,52,32
10/31/2010,46,0,83,7,16,37,56,34
11/7/2010,50,0,53,6,20,43,54,42
11/14/2010,54,0,53,6,26,49,59,37
11/21/2010,50,0,48,5,18,49,55,37
11/28/2010,52,0,51,8,29,50,59,50
12/5/2010,53,0,50,8,23,64,65,40
12/12/2010,54,0,51,7,19,67,62,46
12/19/2010,65,0,53,10,25,62,65,32
12/26/2010,70,0,57,8,26,92,69,48
1/2/2011,73,0,65,11,27,100,80,53
1/9/2011,68,0,63,13,19,86,75,54
