Google Flu Trends: Historic Seasons
Copyright 2008 Google Inc.
Use subject to Terms of Service (http://www.google.com/accounts/TOS)

United States Weekly ILI Percentages, 2003-2004 through 2007-2008
Each week begins on the Sunday indicated for the row
For more information, please visit http://google.org/flutrends

Date,United States,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,District of Columbia,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,New England Region,Mid-Atlantic Region,East North Central Region,West North Central Region,South Atlantic Region,East South Central Region,West South Central Region,Mountain Region,Pacific Region
2003-06-01,0.509,0.349,0.598,0.907,0.351,0.419,0.315,0.477,0.703,1.478,0.426,0.472,0.811,0.397,0.755,0.551,0.453,0.351,0.408,0.422,0.651,0.672,0.923,0.450,0.472,0.438,0.247,0.224,0.521,0.958,0.508,0.505,0.728,0.346,0.333,0.601,0.451,0.481,0.375,0.640,0.959,0.869,0.545,0.553,0.453,0.334,0.522,0.695,0.379,0.531,0.716,0.653,0.644,0.636,0.493,0.446,0.544,0.482,0.468,0.354,0.418
2003-06-08,0.546,0.451,0.679,0.671,0.423,0.429,0.394,0.754,0.636,0.860,0.538,0.521,0.644,0.579,0.737,0.495,0.534,0.535,0.559,0.459,0.536,0.668,0.467,0.529,0.510,0.451,0.397,0.250,0.638,1.638,0.571,0.725,0.785,0.239,0.468,0.696,0.569,0.606,0.358,0.716,0.596,0.744,0.136,0.625,0.484,0.643,0.613,0.878,0.495,0.625,0.888,0.377,0.596,0.718,0.538,0.517,0.601,0.598,0.498,0.437,0.439
2003-06-15,0.501,0.534,0.579,0.605,0.394,0.400,0.315,0.584,0.625,0.598,0.535,0.516,0.468,0.415,0.432,0.470,0.443,0.507,0.681,0.429,0.530,0.632,0.525,0.467,0.420,0.498,0.695,0.136,0.864,0.491,0.443,0.607,0.612,0.424,0.404,0.556,0.572,0.750,0.474,0.592,0.775,0.600,0.694,0.524,0.459,0.399,0.603,0.612,0.393,0.607,0.412,0.152,0.560,0.575,0.506,0.462,0.603,0.591,0.484,0.362,0.406
2003-06-22,0.457,0.406,0.564,0.502,0.439,0.324,0.422,0.448,0.523,0.542,0.442,0.474,1.034,0.415,0.550,0.434,0.515,0.493,0.691,0.543,0.438,0.741,0.496,0.484,0.388,0.396,0.377,0.080,0.714,0.415,0.792,0.648,0.641,0.227,0.355,0.503,0.505,0.517,0.404,0.511,0.454,0.659,0.694,0.625,0.416,0.349,0.507,0.211,0.421,0.461,0.714,0.377,0.451,0.531,0.471,0.445,0.544,0.597,0.438,0.388,0.354
2003-06-29,0.357,0.554,0.459,0.519,0.402,0.349,0.336,0.371,0.384,0.923,0.407,0.354,0.425,0.298,0.219,0.364,0.313,0.504,0.182,0.298,0.361,0.487,0.410,0.318,0.278,0.175,0.259,0.250,0.421,0.776,0.368,0.511,0.521,0.133,0.283,0.412,0.282,0.288,0.292,0.373,0.636,0.504,0.115,0.430,0.309,0.267,0.389,0.051,0.320,0.327,0.554,0.180,0.376,0.424,0.324,0.284,0.413,0.347,0.313,0.310,0.346
2003-07-06,0.408,0.701,0.594,0.378,0.420,0.358,0.345,0.362,0.370,0.542,0.548,0.426,0.479,0.309,0.162,0.340,0.367,0.381,0.451,0.321,0.407,0.545,0.497,0.309,0.305,0.380,0.716,0.333,0.540,0.655,0.487,0.247,0.490,0.484,0.415,0.433,0.347,0.459,0.310,0.453,0.407,0.527,0.350,0.515,0.415,0.336,0.543,0.142,0.363,0.355,0.651,0.214,0.382,0.449,0.339,0.361,0.505,0.540,0.408,0.367,0.362
2003-07-13,0.397,0.367,0.439,0.363,0.505,0.359,0.351,0.381,0.334,0.488,0.475,0.451,0.669,0.309,0.447,0.336,0.414,0.282,0.388,0.387,0.409,0.455,0.382,0.322,0.256,0.491,0.465,0.189,0.623,0.459,0.468,0.547,0.531,0.183,0.255,0.380,0.373,0.322,0.226,0.447,0.940,0.608,0.554,0.596,0.402,0.243,0.408,0.069,0.352,0.361,0.686,0.264,0.424,0.423,0.351,0.355,0.466,0.490,0.393,0.355,0.357
2003-07-20,0.372,0.377,0.617,0.850,0.342,0.314,0.359,0.404,0.379,0.488,0.381,0.379,0.394,0.290,0.500,0.293,0.448,0.387,0.309,0.551,0.308,0.433,0.455,0.375,0.301,0.422,0.537,0.511,0.531,0.332,0.394,0.394,0.507,0.703,0.468,0.315,0.399,0.351,0.287,0.406,0.410,0.452,0.554,0.629,0.424,0.357,0.448,0.110,0.349,0.405,0.727,0.653,0.337,0.370,0.360,0.359,0.425,0.535,0.444,0.400,0.319
2003-07-27,0.369,0.328,0.504,0.430,0.381,0.320,0.336,0.351,0.330,0.777,0.406,0.368,0.656,0.467,0.447,0.281,0.473,0.395,0.382,0.399,0.357,0.562,0.260,0.344,0.259,0.447,0.426,0.200,0.416,1.070,0.419,0.290,0.465,0.407,0.263,0.364,0.444,0.533,0.418,0.472,0.209,0.388,0.294,0.443,0.401,0.222,0.477,0.233,0.258,0.391,0.488,0.110,0.330,0.406,0.360,0.380,0.426,0.444,0.411,0.330,0.323
2003-08-03,0.362,0.701,0.507,0.275,0.310,0.325,0.301,0.463,0.327,0.237,0.417,0.338,0.748,0.492,0.260,0.381,0.402,0.249,0.534,0.500,0.343,0.419,0.269,0.343,0.373,0.488,0.222,0.333,0.582,0.582,0.397,0.312,0.421,0.216,0.580,0.337,0.361,0.390,0.280,0.373,0.716,0.481,0.709,0.371,0.371,0.311,0.341,0.237,0.289,0.297,0.554,0.313,0.367,0.362,0.359,0.413,0.399,0.419,0.380,0.319,0.329
