date,gflu,source1,cflu,source2,dif,pdif,sweek,swweekly,week,lcflu,lcflu3,lcflu4,lcflu5,dif_2,dif_3,dif2,absdif,s3dlscflu09,s3difdcflu09,s3difdcflu092,s3adifdcflu09,s3degflu09,s3difdeflu09,s3difdeflu092,s3adifdeflu09,s2dlscflu09,s2difdcflu09,s2difdcflu092,s2adifdcflu09,s1dlscflu09,s1difdcflu09,s1difdcflu092,s1adifdcflu09,dlscflu09,difdcflu09,difdcflu092,adifdcflu09,s2degflu09,s2difdeflu09,s2difdeflu092,s2adifdeflu09,s1degflu09,s1difdeflu09,s1difdeflu092,s1adifdeflu09,degflu09,difdeflu09,difdeflu092,adifdeflu09,dlscflul3,difdcflul3,difdcflul32,adifdcflul3,degflul3,difdeflul3,difdeflul32,adifdeflul3,r1c1neg,r1c1pos,r1c2neg,r1c2pos,r1c3neg,r1c3pos,r1c4neg,r1c4pos,r1c5neg,r1c5pos,r1c6neg,r1c6pos,r1c7neg,r1c7pos,r1c8neg,r1c8pos,r2c1neg,r2c1pos,r2c2neg,r2c2pos,r2c3neg,r2c3pos,r2c4neg,r2c4pos,r2c5neg,r2c5pos,r2c6neg,r2c6pos,r2c7neg,r2c7pos,r3c1neg,r3c1pos,r3c2neg,r3c2pos,r3c3neg,r3c3pos,r3c4neg,r3c4pos,r3c5neg,r3c5pos,r3c6neg,r3c6pos,r4c1neg,r4c1pos,r4c2neg,r4c2pos,r4c3neg,r4c3pos,r4c4neg,r4c4pos,r4c5neg,r4c5pos,r5c1neg,r5c1pos,r5c2neg,r5c2pos,r5c3neg,r5c3pos,r5c4neg,r5c4pos,r6c1neg,r6c1pos,r6c2neg,r6c2pos,r6c3neg,r6c3pos,r7c1neg,r7c1pos,r7c2neg,r7c2pos,r8c1neg,r8c1pos,cdifdeflu09,oos
2003-09-28,.90200001,Google Flu,.88402122,CDC,.017978787,.020337507,28sep2003,2003w39,39,,,,,,,.0003232368,.017978787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-05,.95200002,Google Flu,1.0277305,CDC,-.075730443,-.073687069,05oct2003,2003w40,40,,,,,,,.0057350998,.075730443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-10-12,1.092,Google Flu,1.2829636,CDC,-.19096363,-.1488457,12oct2003,2003w41,41,.88402122,,,,.017978787,,.036467105,.19096363,1.013074,-.26988959,.072840393,.26988959,1.1097094,-.17325425,.030017035,.17325425,1.140105,-.14285862,.020408586,.14285862,,,,,,,,,1.0881126,-.19485104,.037966929,.19485104,1.0910977,-.19186592,.036812533,.19186592,,,,,,,,,,,,,.078925967,-.46085322,-.017709374,-.36421788,-.048105001,-.33382225,,,,,.0038874149,-.38581467,.00090229511,-.38282955,,,-.096635342,-.44314384,-.12703097,-.41274822,,,,,-.075038552,-.46474063,-.078023672,-.46175551,,,-.030395627,-.31611288,,,,,.021596789,-.36810529,.01861167,-.36512017,,,,,,,.051992416,-.33770967,.049007297,-.33472455,,,,,,,,,,,,,,,,,-.0029851198,-.38671696,,,,,,
2003-10-19,1.209,Google Flu,1.3266053,CDC,-.11760533,-.088651329,19oct2003,2003w42,42,1.0277305,.88402122,,,-.075730443,.017978787,.013831013,.11760533,1.135569,-.19103634,.036494885,.19103634,1.2885441,-.038061261,.0014486596,.038061261,1.1847259,-.14187944,.020129776,.14187944,1.1634052,-.16320014,.026634285,.16320014,,,,,1.1911877,-.13541758,.01833792,.13541758,1.192673,-.13393235,.017937874,.13393235,1.1912658,-.1353395,.018316779,.1353395,,,,,,,,,.073431015,-.30864167,-.079544067,-.15566659,.024274111,-.25948477,.045594811,-.28080547,,,.017812252,-.25302291,.016327024,-.25153768,.01773417,-.25294483,-.15297508,-.2290976,-.049156904,-.33291578,-.027836204,-.35423648,,,-.055618763,-.32645392,-.057103992,-.3249687,-.055696845,-.32637584,.10381818,-.1799407,.12513888,-.2012614,,,.097356319,-.17347884,.095871091,-.17199361,.097278237,-.17340076,.021320701,-.30507958,,,-.0064618587,-.27729702,-.0079470873,-.27581179,-.0065399408,-.27721894,,,-.027782559,-.29861772,-.029267788,-.29713249,-.027860641,-.29853964,,,,,,,-.0014852285,-.26934993,-.000078082085,-.27075708,.0014071465,-.26927185,.17635658,
2003-10-26,1.249,Google Flu,1.7730401,CDC,-.5240401,-.29556021,26oct2003,2003w43,43,1.2829636,1.0277305,.88402122,,-.19096363,-.075730443,.27461803,.5240401,1.3531247,-.41991532,.17632887,.41991532,1.4055339,-.36750615,.13506077,.36750615,1.4516438,-.32139623,.10329553,.32139623,1.5883167,-.18472338,.034122728,.18472338,1.5673124,-.2057277,.042323884,.2057277,1.3808336,-.39220643,.15382588,.39220643,1.3871137,-.38592637,.14893916,.38592637,1.3894699,-.38357019,.14712609,.38357019,,,,,1.23937,-.53367007,.28480375,.53367007,-.10412478,-.94395542,-.15653396,-.89154625,-.20264387,-.84543633,-.33931673,-.70876348,-.31831241,-.7297678,-.13183367,-.91624653,-.13811374,-.90996647,-.14046991,-.9076103,-.052409172,-.78742146,-.098519087,-.74131155,-.23519194,-.6046387,-.21418762,-.62564301,-.027708888,-.81212175,-.033988953,-.80584168,-.036345124,-.80348551,-.046109915,-.68890238,-.18278277,-.55222952,-.16177845,-.57323384,.024700284,-.75971258,.018420219,-.75343251,.016064048,-.75107634,-.13667285,-.50611961,-.11566854,-.52712393,.070810199,-.71360266,.064530134,-.7073226,.062173963,-.70496643,.021004319,-.39045107,.20748305,-.57692981,.20120299,-.57064974,.19884682,-.56829357,.18647873,-.59793413,.18019867,-.59165406,.1778425,-.58929789,-.0062800646,-.7781328,-.0086362362,-.77577662,-.0023561716,-.76949656,.056201551,
2003-11-02,1.374,Google Flu,2.4381361,CDC,-1.0641361,-.43645477,02nov2003,2003w44,44,1.3266053,1.2829636,1.0277305,.88402122,-.11760533,-.19096363,1.1323857,1.0641361,1.390324,-1.0478121,1.0979102,1.0478121,1.4801418,-.95799434,.91775316,.95799434,1.6269075,-.81122863,.6580919,.81122863,1.6005559,-.8375802,.70154059,.8375802,1.6329869,-.8051492,.64826524,.8051492,1.5374633,-.90067279,.81121147,.90067279,1.5437169,-.89441919,.79998571,.89441919,1.5388522,-.89928389,.80871153,.89928389,1.7501801,-.68795598,.47328341,.68795598,1.4860259,-.95211017,.90651375,.95211017,-.016324043,-2.1119483,-.10614181,-2.0221305,-.25290751,-1.8753648,-.22655594,-1.9017164,-.25898695,-1.8692853,-.16346335,-1.9648089,-.16971695,-1.9585553,-.16485226,-1.96342,-.089817762,-2.0058064,-.23658347,-1.8590407,-.2102319,-1.8853923,-.24266291,-1.8529613,-.14713931,-1.9484849,-.15339291,-1.9422313,-.14852822,-1.947096,-.14676571,-1.769223,-.12041414,-1.7955745,-.15284514,-1.7631435,-.057321548,-1.8586671,-.063575149,-1.8524135,-.058710456,-1.8572782,.026351571,-1.6488088,-.0060794353,-1.6163778,.08944416,-1.7119014,.08319056,-1.7056478,.088055253,-1.7105125,-.032431006,-1.6427294,.063092589,-1.738253,.056838989,-1.7319994,.061703682,-1.7368641,.095523596,-1.705822,.089269996,-1.6995684,.094134688,-1.7044331,-.0062536001,-1.795092,-.0013889074,-1.7999567,.0048646927,-1.7937031,.015503876,
2003-11-09,1.702,Google Flu,2.7260454,CDC,-1.0240453,-.37565234,09nov2003,2003w45,45,1.7730401,1.3266053,1.2829636,1.0277305,-.5240401,-.11760533,1.0486689,1.0240453,1.7708563,-.95518911,.91238624,.95518911,2.0779762,-.64806914,.41999361,.64806914,1.9778776,-.74816775,.55975497,.74816775,2.2200322,-.50601315,.25604931,.50601315,2.1830292,-.5430162,.29486659,.5430162,2.1370499,-.58899546,.34691566,.58899546,2.1423638,-.58368158,.34068421,.58368158,2.1508021,-.57524323,.33090478,.57524323,1.7146457,-1.0113996,1.0229292,1.0113996,1.8204186,-.90562677,.82015985,.90562677,-.068856239,-1.9792345,-.3759762,-1.6721145,-.27587759,-1.7722131,-.51803219,-1.5300585,-.48102915,-1.5670615,-.43504989,-1.6130408,-.44036376,-1.6077269,-.44880211,-1.5992886,-.30711997,-1.6032583,-.20702136,-1.7033569,-.44917595,-1.4612023,-.41217291,-1.4982053,-.36619365,-1.5441846,-.37150753,-1.5388707,-.37994587,-1.5304323,.10009861,-1.3962369,-.14205599,-1.1540823,-.10505295,-1.1910853,-.059073687,-1.2370646,-.06438756,-1.2317507,-.072825909,-1.2233124,-.2421546,-1.2541809,-.20515156,-1.2911839,-.1591723,-1.3371632,-.16448617,-1.3318493,-.17292452,-1.323411,.03700304,-1.0490294,.082982302,-1.0950086,.077668428,-1.0896947,.06923008,-1.0812564,.045979261,-1.1320117,.040665388,-1.1266978,.032227039,-1.1182594,-.0053138733,-1.172677,-.013752222,-1.1642387,-.0084383488,-1.1589248,.032945737,
2003-11-16,2.148,Google Flu,3.7319221,CDC,-1.5839221,-.4244253,16nov2003,2003w46,46,2.4381361,1.7730401,1.3266053,1.2829636,-1.0641361,-.5240401,2.5088093,1.5839221,2.3377712,-1.394151,1.9436569,1.394151,2.8824561,-.84946609,.72159261,.84946609,2.5748105,-1.1571116,1.3389074,1.1571116,2.9145327,-.81738949,.66812557,.81738949,2.9222307,-.80969143,.65560019,.80969143,3.0008581,-.73106408,.5344547,.73106408,3.0067782,-.72514391,.52583367,.72514391,3.0151551,-.71676707,.51375502,.71676707,2.3447359,-1.3871863,1.9242858,1.3871863,2.5251651,-1.2067571,1.4562626,1.2067571,-.18977118,-2.9780731,-.73445606,-2.4333882,-.4268105,-2.7410338,-.76653266,-2.4013116,-.77423072,-2.3936136,-.85285807,-2.3149862,-.85877824,-2.3090661,-.86715508,-2.3006892,-.54468489,-2.2436171,-.23703933,-2.5512626,-.57676148,-2.2115405,-.58445954,-2.2038424,-.66308689,-2.1252151,-.66900706,-2.1192949,-.6773839,-2.110918,.30764556,-2.0065777,-.032076597,-1.6668556,-.039774656,-1.6591575,-.118402,-1.5805302,-.12432218,-1.57461,-.13269901,-1.5662332,-.33972216,-1.9745011,-.34742022,-1.9668031,-.42604756,-1.8881757,-.43196774,-1.8822556,-.44034457,-1.8738787,-.0076980591,-1.6270809,-.086325407,-1.5484536,-.092245579,-1.5425334,-.10062242,-1.5341566,-.078627348,-1.5407555,-.08454752,-1.5348353,-.092924356,-1.5264585,-.0059201717,-1.456208,-.014297009,-1.4478312,-.0083768368,-1.441911,.017441861,
2003-11-23,2.9679999,Google Flu,4.5489373,CDC,-1.5809374,-.34753993,23nov2003,2003w47,47,2.7260454,2.4381361,1.7730401,1.3266053,-1.0240453,-1.0641361,2.4993629,1.5809374,2.5831792,-1.9657581,3.8642049,1.9657581,3.6680231,-.88091421,.77600986,.88091421,3.0672693,-1.481668,2.1953402,1.481668,3.1685457,-1.3803916,1.905481,1.3803916,3.2212775,-1.3276598,1.7626806,1.3276598,3.97471,-.57422733,.32973704,.57422733,3.9681151,-.58082223,.33735445,.58082223,3.9559476,-.59298968,.35163677,.59298968,3.1550858,-1.3938515,1.9428221,1.3938515,3.8710628,-.67787457,.45951393,.67787457,.3848207,-3.5466955,-.70002317,-2.4618516,-.09926939,-3.0626054,-.20054579,-2.961329,-.25327754,-2.9085972,-1.0067101,-2.1551647,-1.0001152,-2.1617596,-.9879477,-2.1739271,-1.0848439,-2.8466723,-.48409009,-3.4474261,-.58536649,-3.3461497,-.63809824,-3.2934179,-1.3915308,-2.5399854,-1.3849359,-2.5465803,-1.3727684,-2.5587478,.60075378,-2.3625822,.49947739,-2.2613058,.44674563,-2.2085741,-.30668688,-1.4551415,-.30009198,-1.4617364,-.28792453,-1.4739039,-.1012764,-2.8620596,-.15400815,-2.8093278,-.90744066,-2.0558953,-.90084577,-2.0624902,-.88867831,-2.0746577,-.052731752,-2.7080514,-.80616426,-1.9546189,-.79956937,-1.9612138,-.78740191,-1.9733813,-.75343251,-1.9018872,-.74683762,-1.9084821,-.73467016,-1.9206495,.0065948963,-1.1550496,.01876235,-1.167217,.012167454,-1.1738119,.031007752,
2003-11-30,3.5239999,Google Flu,5.3990641,CDC,-1.8750641,-.3472943,30nov2003,2003w48,48,3.7319221,2.7260454,2.4381361,1.7730401,-1.5839221,-1.0240453,3.5158656,1.8750641,3.4405689,-1.9584951,3.8357031,1.9584951,4.5947733,-.80429077,.64688367,.80429077,3.7972195,-1.6018445,2.565906,1.6018445,4.347405,-1.0516591,1.1059868,1.0516591,4.288641,-1.1104231,1.2330394,1.1104231,4.7425518,-.65651226,.43100834,.65651226,4.7450104,-.65405369,.42778623,.65405369,4.7517481,-.64731598,.41901797,.64731598,3.1624591,-2.2366049,5.0024018,2.2366049,4.297647,-1.1014171,1.2131195,1.1014171,.083431005,-3.8335593,-1.0707734,-2.6793549,-.27321959,-3.4769087,-.82340503,-2.9267232,-.76464105,-2.9854872,-1.2185519,-2.5315764,-1.2210104,-2.5291178,-1.2277482,-2.5223801,-1.1542044,-2.7627859,-.35665059,-3.5603397,-.90683603,-3.0101542,-.84807205,-3.0689182,-1.3019829,-2.6150074,-1.3044415,-2.6125488,-1.3111792,-2.6058111,.79755378,-2.4061353,.24736834,-1.8559499,.30613232,-1.9147139,-.14777851,-1.460803,-.15023708,-1.4583445,-.15697479,-1.4516068,-.55018544,-2.6535037,-.49142146,-2.7122676,-.94533229,-2.2583568,-.94779086,-2.2558982,-.95452857,-2.2491605,.058763981,-2.1620822,-.39514685,-1.7081714,-.39760542,-1.7057128,-.40434313,-1.6989751,-.45391083,-1.7669353,-.4563694,-1.7644768,-.46310711,-1.7577391,-.0024585724,-1.3105659,-.0091962814,-1.3038282,-.006737709,-1.3013697,.025193799,
