Week,pnumonia
01/04/2004,0
01/11/2004,0
01/18/2004,0
01/25/2004,0
02/01/2004,0
02/08/2004,0
02/15/2004,0
02/22/2004,0
02/29/2004,0
03/07/2004,0
03/14/2004,0
03/21/2004,0
03/28/2004,0
04/04/2004,0
04/11/2004,0
04/18/2004,0
04/25/2004,0
05/02/2004,0
05/09/2004,0
05/16/2004,0
05/23/2004,0
05/30/2004,0
06/06/2004,0
06/13/2004,0
06/20/2004,0
06/27/2004,0
07/04/2004,0
07/11/2004,0
07/18/2004,0
07/25/2004,0
08/01/2004,0
08/08/2004,0
08/15/2004,0
08/22/2004,0
08/29/2004,0
09/05/2004,0
09/12/2004,0
09/19/2004,0
09/26/2004,0
10/03/2004,0
10/10/2004,0
10/17/2004,57
10/24/2004,58
10/31/2004,60
11/07/2004,61
11/14/2004,62
11/21/2004,68
11/28/2004,73
12/05/2004,78
12/12/2004,82
12/19/2004,86
12/26/2004,90
01/02/2005,52
01/09/2005,60
01/16/2005,50
01/23/2005,54
01/30/2005,68
02/06/2005,100
02/13/2005,57
02/20/2005,87
02/27/2005,59
03/06/2005,70
03/13/2005,58
03/20/2005,58
03/27/2005,58
04/03/2005,0
04/10/2005,0
04/17/2005,0
04/24/2005,0
05/01/2005,0
05/08/2005,0
05/15/2005,0
05/22/2005,0
05/29/2005,0
06/05/2005,0
06/12/2005,0
06/19/2005,0
06/26/2005,0
07/03/2005,0
07/10/2005,0
07/17/2005,0
07/24/2005,46
07/31/2005,68
08/07/2005,0
08/14/2005,0
08/21/2005,0
08/28/2005,0
09/04/2005,0
09/11/2005,0
09/18/2005,0
09/25/2005,0
10/02/2005,0
10/09/2005,0
10/16/2005,38
10/23/2005,42
10/30/2005,45
11/06/2005,43
11/13/2005,43
11/20/2005,63
11/27/2005,60
12/04/2005,60
12/11/2005,60
12/18/2005,52
12/25/2005,45
01/01/2006,56
01/08/2006,40
01/15/2006,47
01/22/2006,51
01/29/2006,54
02/05/2006,38
02/12/2006,38
02/19/2006,73
02/26/2006,59
03/05/2006,49
03/12/2006,38
03/19/2006,34
03/26/2006,34
04/02/2006,42
04/09/2006,51
04/16/2006,42
04/23/2006,42
04/30/2006,33
05/07/2006,33
05/14/2006,36
05/21/2006,39
05/28/2006,41
06/04/2006,44
06/11/2006,0
06/18/2006,0
06/25/2006,0
07/02/2006,0
07/09/2006,0
07/16/2006,0
07/23/2006,0
07/30/2006,0
08/06/2006,0
08/13/2006,0
08/20/2006,0
08/27/2006,34
09/03/2006,39
09/10/2006,43
09/17/2006,35
09/24/2006,35
10/01/2006,35
10/08/2006,37
10/15/2006,39
10/22/2006,41
10/29/2006,28
11/05/2006,27
11/12/2006,35
11/19/2006,40
11/26/2006,40
12/03/2006,36
12/10/2006,36
12/17/2006,59
12/24/2006,60
12/31/2006,69
01/07/2007,49
01/14/2007,42
01/21/2007,45
01/28/2007,48
02/04/2007,49
02/11/2007,71
02/18/2007,59
02/25/2007,41
03/04/2007,41
03/11/2007,33
03/18/2007,33
03/25/2007,22
04/01/2007,50
04/08/2007,24
04/15/2007,21
04/22/2007,32
04/29/2007,21
05/06/2007,21
05/13/2007,21
05/20/2007,22
05/27/2007,24
06/03/2007,24
06/10/2007,28
06/17/2007,31
06/24/2007,33
07/01/2007,22
07/08/2007,22
07/15/2007,30
07/22/2007,24
07/29/2007,24
08/05/2007,24
08/12/2007,31
08/19/2007,37
08/26/2007,26
09/02/2007,26
09/09/2007,22
09/16/2007,27
09/23/2007,31
09/30/2007,36
10/07/2007,45
10/14/2007,32
10/21/2007,48
10/28/2007,30
11/04/2007,41
11/11/2007,51
11/18/2007,46
11/25/2007,41
12/02/2007,35
12/09/2007,23
12/16/2007,32
12/23/2007,47
12/30/2007,58
01/06/2008,66
01/13/2008,34
01/20/2008,34
01/27/2008,66
02/03/2008,52
02/10/2008,68
02/17/2008,73
02/24/2008,68
03/02/2008,51
03/09/2008,47
03/16/2008,53
03/23/2008,37
03/30/2008,34
04/06/2008,31
04/13/2008,36
04/20/2008,49
04/27/2008,28
05/04/2008,31
05/11/2008,28
05/18/2008,32
05/25/2008,27
06/01/2008,24
06/08/2008,20
06/15/2008,22
06/22/2008,22
06/29/2008,22
07/06/2008,22
07/13/2008,29
07/20/2008,17
07/27/2008,17
08/03/2008,27
08/10/2008,45
08/17/2008,22
08/24/2008,23
08/31/2008,31
09/07/2008,22
09/14/2008,25
09/21/2008,14
09/28/2008,19
10/05/2008,28
10/12/2008,28
10/19/2008,16
10/26/2008,34
11/02/2008,27
11/09/2008,25
11/16/2008,28
11/23/2008,28
11/30/2008,39
12/07/2008,33
12/14/2008,29
12/21/2008,19
12/28/2008,19
01/04/2009,25
01/11/2009,32
01/18/2009,25
01/25/2009,26
02/01/2009,31
02/08/2009,36
02/15/2009,30
02/22/2009,33
