date,cdcr1,cdcr2,cdcr3,cdcr4,cdcr5,cdcr6,cdcr7,cdcr8,cdcr9,cdcr10,gflur1,gflur2,gflur3,gflur4,gflur5,gflur6,gflur7,gflur8,gflur9,gflur10,sdate,sweek2,sweek,week,lcdcr1_2,lcdcr1_3,lcdcr1_4,lcdcr2_2,lcdcr2_3,lcdcr2_4,lcdcr3_2,lcdcr3_3,lcdcr3_4,lcdcr4_2,lcdcr4_3,lcdcr4_4,lcdcr5_2,lcdcr5_3,lcdcr5_4,lcdcr6_2,lcdcr6_3,lcdcr6_4,lcdcr7_2,lcdcr7_3,lcdcr7_4,lcdcr8_2,lcdcr8_3,lcdcr8_4,lcdcr9_2,lcdcr9_3,lcdcr9_4,lcdcr10_2,lcdcr10_3,lcdcr10_4,dif1,dif2,dif3,dif4,dif5,dif6,dif7,dif8,dif9,dif10,ldif1_2,ldif1_3,ldif2_2,ldif2_3,ldif3_2,ldif3_3,ldif4_2,ldif4_3,ldif5_2,ldif5_3,ldif6_2,ldif6_3,ldif7_2,ldif7_3,ldif8_2,ldif8_3,ldif9_2,ldif9_3,ldif10_2,ldif10_3,dif12,adif1,dif22,adif2,dif32,adif3,dif42,adif4,dif52,adif5,dif62,adif6,dif72,adif7,dif82,adif8,dif92,adif9,dif102,adif10,dlscdchat1,dlscdcdif1,dlscdcdif12,adlscdcdif1,dlscdchat2,dlscdcdif2,dlscdcdif22,adlscdcdif2,dlscdchat3,dlscdcdif3,dlscdcdif32,adlscdcdif3,dlscdchat4,dlscdcdif4,dlscdcdif42,adlscdcdif4,dlscdchat5,dlscdcdif5,dlscdcdif52,adlscdcdif5,dlscdchat6,dlscdcdif6,dlscdcdif62,adlscdcdif6,dlscdchat7,dlscdcdif7,dlscdcdif72,adlscdcdif7,dlscdchat8,dlscdcdif8,dlscdcdif82,adlscdcdif8,dlscdchat9,dlscdcdif9,dlscdcdif92,adlscdcdif9,dlscdchat10,dlscdcdif10,dlscdcdif102,adlscdcdif10,degfluhat1,degfludif1,degfludif12,adegfludif1,degfluhat2,degfludif2,degfludif22,adegfludif2,degfluhat3,degfludif3,degfludif32,adegfludif3,degfluhat4,degfludif4,degfludif42,adegfludif4,degfluhat5,degfludif5,degfludif52,adegfludif5,degfluhat6,degfludif6,degfludif62,adegfludif6,degfluhat7,degfludif7,degfludif72,adegfludif7,degfluhat8,degfludif8,degfludif82,adegfludif8,degfluhat9,degfludif9,degfludif92,adegfludif9,degfluhat10,degfludif10,degfludif102,adegfludif10,dlscdc091,dlscdcd091,dlscdcd0912,adlscdcd091,dlscdc092,dlscdcd092,dlscdcd0922,adlscdcd092,dlscdc093,dlscdcd093,dlscdcd0932,adlscdcd093,dlscdc094,dlscdcd094,dlscdcd0942,adlscdcd094,dlscdc095,dlscdcd095,dlscdcd0952,adlscdcd095,dlscdc096,dlscdcd096,dlscdcd0962,adlscdcd096,dlscdc097,dlscdcd097,dlscdcd0972,adlscdcd097,dlscdc098,dlscdcd098,dlscdcd0982,adlscdcd098,dlscdc099,dlscdcd099,dlscdcd0992,adlscdcd099,dlscdc0910,dlscdcd0910,dlscdcd09102,adlscdcd0910,degflu091,degflud091,degflud0912,adegflud091,degflu092,degflud092,degflud0922,adegflud092,degflu093,degflud093,degflud0932,adegflud093,degflu094,degflud094,degflud0942,adegflud094,degflu095,degflud095,degflud0952,adegflud095,degflu096,degflud096,degflud0962,adegflud096,degflu097,degflud097,degflud0972,adegflud097,degflu098,degflud098,degflud0982,adegflud098,degflu099,degflud099,degflud0992,adegflud099,degflu0910,degflud0910,degflud09102,adegflud0910
9/28/2003,.5720306,1.0341839,1.5661608,.82450372,.8055706,1.3445147,.92491436,.52992445,.50899184,.75724822,.322,.66600001,1.3660001,.63099998,.69,1.385,.38499999,.266,.87800002,.62400001,28sep2003,2003w39,2003w39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.25003061,-.36818385,-.20016074,-.19350374,-.1155706,.040485263,-.53991437,-.26392445,.36900818,-.13324821,,,,,,,,,,,,,,,,,,,,,.062515303,.25003061,.13555935,.36818385,.040064324,.20016074,.037443697,.19350374,.013356565,.1155706,.0016390565,.040485263,.29150751,.53991437,.069656119,.26392445,.13616703,.36900818,.017755086,.13324821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/5/2003,.44927931,1.3544946,1.1163529,.90807563,.95177919,1.7666569,1.4850439,.8144027,.64909708,.52979153,.38100001,.71100003,1.335,.65200001,.77499998,1.613,.40000001,.271,.85299999,.68800002,05oct2003,2003w40,2003w40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-.068279296,-.64349455,.21864712,-.25607562,-.17677921,-.15365684,-1.0850439,-.54340267,.2039029,.15820849,,,,,,,,,,,,,,,,,,,,,.0046620625,.068279296,.41408524,.64349455,.047806565,.21864712,.065574721,.25607562,.03125089,.17677921,.023610424,.15365684,1.1773202,1.0850439,.29528648,.54340267,.041576393,.2039029,.025029926,.15820849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/12/2003,.61378908,1.142113,1.1152741,.98591673,1.0385584,2.1237173,.91542751,1.1365893,1.9431461,.86714131,.41,.81900001,1.411,.73500001,.75999999,2.089,.42199999,.285,1.102,.79100001,12oct2003,2003w41,2003w41,41,.5720306,,,1.0341839,,,1.5661608,,,.82450372,,,.8055706,,,1.3445147,,,.92491436,,,.52992445,,,.50899184,,,.75724822,,,-.20378909,-.32311296,.29572594,-.25091672,-.27855837,-.034717321,-.49342752,-.85158932,-.84114611,-.076141298,-.25003061,,-.36818385,,-.20016074,,-.19350374,,-.1155706,,.040485263,,-.53991437,,-.26392445,,.36900818,,-.13324821,,.041529991,.20378909,.10440199,.32311296,.087453835,.29572594,.062959202,.25091672,.077594765,.27855837,.0012052924,.034717321,.24347071,.49342752,.72520435,.85158932,.7075268,.84114611,.0057974975,.076141298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/19/2003,.66117001,1.1156458,.95991331,.90830296,1.0510916,3.2858346,1.1851357,.67037588,1.3855175,1.3737707,.39700001,.83899999,1.444,.82200003,.80299997,2.5829999,.498,.338,1.086,.852,19oct2003,2003w42,2003w42,42,.44927931,.5720306,,1.3544946,1.0341839,,1.1163529,1.5661608,,.90807563,.82450372,,.95177919,.8055706,,1.7666569,1.3445147,,1.4850439,.92491436,,.8144027,.52992445,,.64909708,.50899184,,.52979153,.75724822,,-.26416999,-.27664578,.48408669,-.086302936,-.24809158,-.70283461,-.6871357,-.33237588,-.29951751,-.52177072,-.068279296,-.25003061,-.64349455,-.36818385,.21864712,-.20016074,-.25607562,-.19350374,-.17677921,-.1155706,-.15365684,.040485263,-1.0850439,-.53991437,-.54340267,-.26392445,.2039029,.36900818,.15820849,-.13324821,.069785781,.26416999,.076532885,.27664578,.23433992,.48408669,.0074481969,.086302936,.061549433,.24809158,.49397647,.70283461,.47215545,.6871357,.11047373,.33237588,.089710742,.29951751,.27224469,.52177072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.50065118,-.16051883,.025766293,.16051883,1.316245,.20059919,.040240038,.20059919,1.2875766,.32766324,.1073632,.32766324,.8565498,-.051753163,.0026783899,.051753163,.81934798,-.23174357,.053705085,.23174357,2.7166474,-.56918716,.32397401,.56918716,1.1344986,-.050637126,.0025641185,.050637126,.6586405,-.01173538,.00013771914,.01173538,.78556335,-.59995413,.35994497,.59995413,.62882257,-.74494815,.55494773,.74494815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.48817319,-.17299682,.0299279,.17299682,1.1598754,.044229627,.0019562598,.044229627,1.2236031,.26368982,.06953232,.26368982,.91328359,.0049806237,.000024806614,.0049806237,.87810469,-.17298687,.029924456,.17298687,2.7438307,-.54200387,.2937682,.54200387,1.0388765,-.14625919,.021391749,.14625919,.49194223,-.17843366,.03183857,.17843366,.8552742,-.53024328,.28115794,.53024328,.73252207,-.64124864,.41119981,.64124864
10/26/2003,.7609145,1.3139668,1.4704624,1.219469,1.0394284,6.1412683,1.346903,1.2022492,.8130284,2.3131874,.44400001,.917,1.608,.79699999,.93099999,2.9549999,.52999997,.38699999,1.028,1.012,26oct2003,2003w43,2003w43,43,.61378908,.44927931,.5720306,1.142113,1.3544946,1.0341839,1.1152741,1.1163529,1.5661608,.98591673,.90807563,.82450372,1.0385584,.95177919,.8055706,2.1237173,1.7666569,1.3445147,.91542751,1.4850439,.92491436,1.1365893,.8144027,.52992445,1.9431461,.64909708,.50899184,.86714131,.52979153,.75724822,-.3169145,-.39696676,.1375376,-.42246896,-.10842836,-3.1862683,-.816903,-.8152492,.2149716,-1.3011874,-.20378909,-.068279296,-.32311296,-.64349455,.29572594,.21864712,-.25091672,-.25607562,-.27855837,-.17677921,-.034717321,-.15365684,-.49342752,-1.0850439,-.85158932,-.54340267,-.84114611,.2039029,-.076141298,.15820849,.1004348,.3169145,.15758261,.39696676,.01891659,.1375376,.17848003,.42246896,.011756709,.10842836,10.152306,3.1862683,.6673305,.816903,.66463125,.8152492,.046212789,.2149716,1.6930887,1.3011874,1.2386214,.47770685,.22820383,.47770685,1.9206598,.60669303,.36807644,.60669303,1.7128941,.24243164,.0587731,.24243164,1.2425746,.023105621,.00053386972,.023105621,1.4483826,.40895426,.16724358,.40895426,2.7123458,-3.4289224,11.757509,3.4289224,.55117768,-.79572529,.63317871,.79572529,1.086925,-.11532414,.013299657,.11532414,1.997285,1.1842566,1.4024636,1.1842566,1.1595728,-1.1536145,1.3308265,1.1536145,.495956,-.2649585,.070203006,.2649585,1.4769576,.16299081,.026566004,.16299081,1.5538919,.083429456,.006960474,.083429456,1.0025947,-.21687424,.047034435,.21687424,1.1514066,.11197829,.012539138,.11197829,3.1336384,-3.0076299,9.0458374,3.0076299,.95483392,-.39206904,.15371813,.39206904,1.0386978,-.16355133,.026749037,.16355133,1.3716964,.55866796,.31210989,.55866796,1.1078988,-1.2052885,1.4527204,1.2052885,.74814814,-.012766361,.00016297998,.012766361,1.3684323,.054465532,.0029664943,.054465532,1.2994312,-.17103124,.029251684,.17103124,1.1324161,-.087052822,.0075781937,.087052822,1.1303355,.090907097,.0082641002,.090907097,3.230752,-2.9105163,8.4711046,2.9105163,.70970577,-.6371972,.40602025,.6371972,1.2304206,.02817142,.00079362892,.02817142,1.8886133,1.0755849,1.1568829,1.0755849,1.2772988,-1.0358886,1.073065,1.0358886,.55295992,-.20795459,.043245111,.20795459,1.2631271,-.050839663,.0025846714,.050839663,1.4305377,-.039924741,.0015939849,.039924741,.9801715,-.23929745,.05726327,.23929745,1.0614619,.022033572,.00048547832,.022033572,3.4382286,-2.7030396,7.3064232,2.7030396,.90187985,-.44502312,.19804558,.44502312,.97561079,-.22663838,.051364955,.22663838,1.2337588,.42073041,.17701408,.42073041,1.2628843,-1.0503031,1.1031367,1.0503031
11/2/2003,.87716806,1.2867354,2.5296547,1.4096978,1.1856072,9.3221664,1.1797485,1.1892052,1.7109309,2.0058818,.45699999,.99699998,1.6160001,.85000002,.93800002,3.2019999,.509,.653,1.3940001,1.16,02nov2003,2003w44,2003w44,44,.66117001,.61378908,.44927931,1.1156458,1.142113,1.3544946,.95991331,1.1152741,1.1163529,.90830296,.98591673,.90807563,1.0510916,1.0385584,.95177919,3.2858346,2.1237173,1.7666569,1.1851357,.91542751,1.4850439,.67037588,1.1365893,.8144027,1.3855175,1.9431461,.64909708,1.3737707,.86714131,.52979153,-.42016807,-.28973544,-.91365469,-.55969775,-.24760717,-6.1201668,-.67074853,-.53620517,-.31693089,-.84588182,-.26416999,-.20378909,-.27664578,-.32311296,.48408669,.29572594,-.086302936,-.25091672,-.24809158,-.27855837,-.70283461,-.034717321,-.6871357,-.49342752,-.33237588,-.85158932,-.29951751,-.84114611,-.52177072,-.076141298,.17654121,.42016807,.083946623,.28973544,.8347649,.91365469,.31326157,.55969775,.061309312,.24760717,37.45644,6.1201668,.44990361,.67074853,.287516,.53620517,.10044519,.31693089,.71551603,.84588182,1.3947216,.51755357,.26786169,.51755357,1.6376203,.35088491,.12312023,.35088491,1.4182967,-1.111358,1.2351167,1.111358,1.1180756,-.29162216,.085043482,.29162216,.77572912,-.40987808,.16800004,.40987808,4.0605235,-5.2616429,27.684887,5.2616429,.73900306,-.44074547,.19425657,.44074547,.41689208,-.77231312,.59646755,.77231312,1.9009267,.18999577,.036098391,.18999577,1.5330172,-.47286463,.22360095,.47286463,.77037334,-.10679471,.011405111,.10679471,1.3842791,.097543716,.009514777,.097543716,1.5599742,-.96968055,.94028038,.96968055,1.0575141,-.3521837,.12403336,.3521837,1.1397685,-.045838714,.0021011876,.045838714,3.84851,-5.4736567,29.960917,5.4736567,.91563201,-.26411653,.069757536,.26411653,.76777369,-.42143148,.1776045,.42143148,1.7438524,.032921433,.0010838208,.032921433,1.4364032,-.56947863,.32430592,.56947863,.77310061,-.10406744,.010830033,.10406744,1.3404279,.05369246,.0028828802,.05369246,1.6970342,-.8326205,.69325691,.8326205,1.0419703,-.36772752,.13522352,.36772752,1.0711435,-.11446369,.013101935,.11446369,4.3437586,-4.9784079,24.784544,4.9784079,.99277931,-.18696922,.034957491,.18696922,.76355612,-.42564905,.18117711,.42564905,1.6958656,-.015065312,.00022696363,.015065312,1.77834,-.2275418,.051775273,.2275418,.5994705,-.27769756,.077115938,.27769756,1.2564173,-.030318141,.00091918965,.030318141,1.6015922,-.92806256,.86130011,.92806256,.95078218,-.45891559,.21060352,.45891559,1.0021403,-.18346691,.033660106,.18346691,4.3041959,-5.0179706,25.180029,5.0179706,.76478446,-.41496408,.17219518,.41496408,.80279678,-.38640839,.14931144,.38640839,1.5768744,-.13405657,.017971164,.13405657,1.5712678,-.43461394,.18888928,.43461394
11/9/2003,.9442988,1.720508,2.4644325,1.6444477,1.7087543,9.2909431,1.6348157,3.3291283,1.5630256,3.2809694,.55800003,1.067,1.995,1.153,1.062,3.5810001,.61900002,1.692,1.779,2.3829999,09nov2003,2003w45,2003w45,45,.7609145,.66117001,.61378908,1.3139668,1.1156458,1.142113,1.4704624,.95991331,1.1152741,1.219469,.90830296,.98591673,1.0394284,1.0510916,1.0385584,6.1412683,3.2858346,2.1237173,1.346903,1.1851357,.91542751,1.2022492,.67037588,1.1365893,.8130284,1.3855175,1.9431461,2.3131874,1.3737707,.86714131,-.38629878,-.65350795,-.46943247,-.49144769,-.64675426,-5.7099428,-1.0158157,-1.6371282,.21597445,-.89796948,-.3169145,-.26416999,-.39696676,-.27664578,.1375376,.48408669,-.42246896,-.086302936,-.10842836,-.24809158,-3.1862683,-.70283461,-.816903,-.6871357,-.8152492,-.33237588,.2149716,-.29951751,-1.3011874,-.52177072,.14922674,.38629878,.42707264,.65350795,.22036685,.46943247,.24152082,.49144769,.41829109,.64675426,32.603447,5.7099428,1.0318816,1.0158157,2.6801889,1.6371282,.046644963,.21597445,.80634922,.89796948,1.0595062,.11520737,.013272739,.11520737,1.3374405,-.38306749,.1467407,.38306749,1.4438845,-1.020548,1.0415182,1.020548,1.5237528,-.12069488,.014567253,.12069488,1.1657394,-.54301488,.29486516,.54301488,7.2865214,-2.0044217,4.0177064,2.0044217,1.4096866,-.22512913,.050683126,.22512913,1.5067447,-1.8223835,3.3210816,1.8223835,.94814503,-.61488056,.3780781,.61488056,2.2112665,-1.0697029,1.1442642,1.0697029,.75441241,-.18988639,.036056843,.18988639,1.3106785,-.4098295,.16796021,.4098295,1.7883565,-.67607594,.45707867,.67607594,1.4843528,-.16009486,.025630364,.16009486,1.107487,-.60126734,.36152241,.60126734,5.9399867,-3.3509564,11.228909,3.3509564,1.1953528,-.4394629,.19312765,.4394629,2.4633086,-.86581969,.74964374,.86581969,1.61817,.055144429,.0030409081,.055144429,2.7959664,-.48500299,.2352279,.48500299,.80682218,-.13747662,.018899823,.13747662,1.3964061,-.32410192,.10504206,.32410192,1.8727728,-.59165967,.35006115,.59165967,1.5811778,-.063269854,.0040030745,.063269854,1.2518762,-.45687807,.20873757,.45687807,6.9725657,-2.3183775,5.3748741,2.3183775,1.3059692,-.32884645,.10813999,.32884645,1.572823,-1.7563052,3.0846081,1.7563052,.90703321,-.65599239,.43032601,.65599239,2.3083055,-.97266388,.94607502,.97266388,.68526852,-.25903028,.067096688,.25903028,1.3511411,-.36936688,.13643189,.36936688,1.918823,-.54560947,.29768971,.54560947,1.4329159,-.21153176,.044745684,.21153176,1.1882882,-.52046609,.27088496,.52046609,6.2850533,-3.0058899,9.0353737,3.0058899,1.1516498,-.48316586,.23344925,.48316586,2.3380311,-.99109721,.9822737,.99109721,1.4908834,-.072142243,.0052045034,.072142243,2.7294409,-.55152845,.30418363,.55152845
11/16/2003,1.3556465,1.8760084,4.6275487,1.9273868,2.3996599,10.421106,1.8775581,5.5609841,3.2109609,6.1609287,.852,1.543,2.596,1.479,1.427,4.506,1.094,2.6329999,2.1730001,2.5480001,16nov2003,2003w46,2003w46,46,.87716806,.7609145,.66117001,1.2867354,1.3139668,1.1156458,2.5296547,1.4704624,.95991331,1.4096978,1.219469,.90830296,1.1856072,1.0394284,1.0510916,9.3221664,6.1412683,3.2858346,1.1797485,1.346903,1.1851357,1.1892052,1.2022492,.67037588,1.7109309,.8130284,1.3855175,2.0058818,2.3131874,1.3737707,-.50364649,-.33300841,-2.0315487,-.44838679,-.97265983,-5.9151063,-.78355813,-2.9279842,-1.0379608,-3.6129286,-.42016807,-.3169145,-.28973544,-.39696676,-.91365469,.1375376,-.55969775,-.42246896,-.24760717,-.10842836,-6.1201668,-3.1862683,-.67074853,-.816903,-.53620517,-.8152492,-.31693089,.2149716,-.84588182,-1.3011874,.25365978,.50364649,.1108946,.33300841,4.1271901,2.0315487,.20105071,.44838679,.94606715,.97265983,34.988483,5.9151063,.61396337,.78355813,8.5730915,2.9279842,1.0773625,1.0379608,13.053253,3.6129286,.48881716,-.86682934,.75139308,.86682934,1.1934831,-.68252528,.46584076,.68252528,2.755635,-1.8719137,3.5040607,1.8719137,1.6862752,-.24111152,.058134764,.24111152,1.3694859,-1.030174,1.0612586,1.030174,10.393491,-.027615547,.00076261844,.027615547,1.0545028,-.82305527,.67741996,.82305527,1.6761856,-3.8847985,15.09166,3.8847985,1.9925896,-1.2183713,1.4844285,1.2183713,2.1571858,-4.0037432,16.029959,4.0037432,.95301306,-.40263343,.16211368,.40263343,1.5616159,-.31439245,.098842613,.31439245,2.9815683,-1.6459804,2.7092514,1.6459804,1.8781575,-.049229264,.0024235204,.049229264,1.6161404,-.78351951,.61390281,.78351951,8.9438353,-1.4772711,2.1823299,1.4772711,1.824645,-.05291307,.0027997929,.05291307,3.2881582,-2.272826,5.1657376,2.272826,2.490207,-.72075391,.51948619,.72075391,3.0779533,-3.0829754,9.5047369,3.0829754,.9803251,-.37532139,.14086615,.37532139,1.4246607,-.45134771,.20371476,.45134771,2.9337587,-1.69379,2.8689244,1.69379,1.7124854,-.21490133,.04618258,.21490133,1.5525048,-.84715509,.71767175,.84715509,9.7993574,-.62174892,.38657174,.62174892,1.165284,-.71227407,.50733435,.71227407,1.8727804,-3.6882038,13.602847,3.6882038,2.10726,-1.1037009,1.2181556,1.1037009,2.3309546,-3.8299742,14.668702,3.8299742,.97345102,-.38219547,.14607339,.38219547,1.6468035,-.22920489,.052534882,.22920489,3.1198466,-1.5077021,2.2731657,1.5077021,1.8444715,-.082915306,.0068749478,.082915306,1.8235264,-.57613349,.3319298,.57613349,9.4962025,-.92490387,.85544717,.92490387,2.0521672,.17460907,.030488325,.17460907,3.1304016,-2.4305825,5.9077315,2.4305825,2.3925462,-.81841469,.66980261,.81841469,3.0490112,-3.1119175,9.6840305,3.1119175
11/23/2003,1.8120557,2.0955637,4.3132749,2.7559872,3.3634048,8.57337,5.0074258,6.7530804,5.8969393,8.827632,1.148,2.1760001,3.3410001,2.1819999,2.02,5.2719998,2.0409999,4.2259998,3.382,4.223,23nov2003,2003w47,2003w47,47,.9442988,.87716806,.7609145,1.720508,1.2867354,1.3139668,2.4644325,2.5296547,1.4704624,1.6444477,1.4096978,1.219469,1.7087543,1.1856072,1.0394284,9.2909431,9.3221664,6.1412683,1.6348157,1.1797485,1.346903,3.3291283,1.1892052,1.2022492,1.5630256,1.7109309,.8130284,3.2809694,2.0058818,2.3131874,-.66405571,.080436468,-.97227478,-.57398725,-1.3434048,-3.3013701,-2.9664259,-2.5270805,-2.5149393,-4.6046319,-.38629878,-.42016807,-.65350795,-.28973544,-.46943247,-.91365469,-.49144769,-.55969775,-.64675426,-.24760717,-5.7099428,-6.1201668,-1.0158157,-.67074853,-1.6371282,-.53620517,.21597445,-.31693089,-.89796948,-.84588182,.44096997,.66405571,.0064700255,.080436468,.94531822,.97227478,.32946137,.57398725,1.8047364,1.3434048,10.899045,3.3013701,8.7996826,2.9664259,6.3861361,2.5270805,6.3249197,2.5149393,21.202635,4.6046319,.98018229,-.83187342,.69201338,.83187342,2.0047884,-.090775251,.0082401466,.090775251,2.9126787,-1.4005961,1.9616696,1.4005961,2.0792308,-.67675638,.4579992,.67675638,2.4035406,-.95986414,.92133915,.95986414,8.6294365,.056066513,.003143454,.056066513,2.0270753,-2.9803505,8.8824892,2.9803505,4.1326833,-2.6203971,6.8664808,2.6203971,2.7644715,-3.1324677,9.8123541,3.1324677,3.7712164,-5.0564156,25.567339,5.0564156,1.3675779,-.4444778,.19756052,.4444778,2.6726611,.57709742,.33304143,.57709742,3.7684889,-.54478598,.29679176,.54478598,2.6644897,-.091497421,.0083717778,.091497421,2.7588446,-.60456014,.36549297,.60456014,9.1566019,.58323193,.34015948,.58323193,3.85095,-1.1564758,1.3374362,1.1564758,5.9761863,-.77689409,.60356444,.77689409,3.8468831,-2.0500562,4.2027307,2.0500562,5.1905322,-3.6370997,13.228495,3.6370997,1.139318,-.67273772,.45257604,.67273772,2.0669353,-.028628349,.00081958238,.028628349,2.9927127,-1.3205621,1.7438843,1.3205621,2.0043476,-.7516396,.56496209,.7516396,2.3436465,-1.0197582,1.0399069,1.0197582,8.5224133,-.050956726,.0025965879,.050956726,2.1586964,-2.8487294,8.1152592,2.8487294,3.7221141,-3.0309663,9.1867561,3.0309663,2.7855673,-3.111372,9.6806355,3.111372,3.8735626,-4.9540691,24.542801,4.9540691,1.3984454,-.41361034,.17107351,.41361034,2.5727832,.47721958,.22773853,.47721958,3.6955681,-.61770678,.38156167,.61770678,2.5731938,-.18279338,.033413418,.18279338,2.8618436,-.50156116,.25156361,.50156116,9.9413013,1.3679314,1.8712362,1.3679314,4.0716944,-.93573141,.87559325,.93573141,5.2028885,-1.5501919,2.4030948,1.5501919,3.7373488,-2.1595905,4.6638312,2.1595905,5.2997742,-3.5278578,12.445781,3.5278578
11/30/2003,2.3600836,2.8168521,5.4033108,4.0537724,4.7510109,8.650773,5.7610121,6.2096262,7.1080093,7.3916678,1.904,2.631,4.046,3.1919999,2.5539999,4.4850001,2.9430001,4.8639998,5.467,5.7909999,30nov2003,2003w48,2003w48,48,1.3556465,.9442988,.87716806,1.8760084,1.720508,1.2867354,4.6275487,2.4644325,2.5296547,1.9273868,1.6444477,1.4096978,2.3996599,1.7087543,1.1856072,10.421106,9.2909431,9.3221664,1.8775581,1.6348157,1.1797485,5.5609841,3.3291283,1.1892052,3.2109609,1.5630256,1.7109309,6.1609287,3.2809694,2.0058818,-.45608354,-.18585205,-1.3573108,-.86177254,-2.197011,-4.1657729,-2.818012,-1.3456264,-1.6410093,-1.600668,-.50364649,-.38629878,-.33300841,-.65350795,-2.0315487,-.46943247,-.44838679,-.49144769,-.97265983,-.64675426,-5.9151063,-5.7099428,-.78355813,-1.0158157,-2.9279842,-1.6371282,-1.0379608,.21597445,-3.6129286,-.89796948,.20801219,.45608354,.034540985,.18585205,1.8422925,1.3573108,.74265188,.86177254,4.8268571,2.197011,17.353664,4.1657729,7.9411917,2.818012,1.8107103,1.3456264,2.6929116,1.6410093,2.5621378,1.600668,1.6148452,-.74523842,.55538028,.74523842,2.3248506,-.49200153,.2420655,.49200153,4.7999935,-.60331726,.36399171,.60331726,2.2784691,-1.7753034,3.1517019,1.7753034,2.9867411,-1.7642698,3.112648,1.7642698,8.7612257,.11045265,.012199788,.11045265,2.5059881,-3.255024,10.595181,3.255024,6.0420413,-.1675849,.028084697,.1675849,3.6948931,-3.4131162,11.649363,3.4131162,5.7288022,-1.6628656,2.7651222,1.6628656,1.9543229,-.40576065,.16464171,.40576065,2.9804902,.16363811,.026777433,.16363811,5.0425272,-.36078358,.13016479,.36078358,3.1994524,-.85432005,.72986275,.85432005,3.3659985,-1.3850124,1.9182593,1.3850124,8.2619209,-.38885212,.15120597,.38885212,5.0807943,-.68021774,.46269616,.68021774,7.150382,.94075584,.88502157,.94075584,5.3437362,-1.7642732,3.1126597,1.7642732,6.966867,-.42480087,.18045579,.42480087,1.569674,-.79040956,.62474728,.79040956,2.4155023,-.40134978,.16108164,.40134978,4.4554019,-.94790888,.89853126,.94790888,2.3237958,-1.7299767,2.9928193,1.7299767,2.9989736,-1.7520373,3.0696347,1.7520373,8.478158,-.17261505,.029795956,.17261505,2.3776941,-3.3833179,11.44684,3.3833179,5.5585713,-.65105486,.42387244,.65105486,3.7084181,-3.3995912,11.55722,3.3995912,5.5108781,-1.8807898,3.5373702,1.8807898,1.9459362,-.41414738,.17151804,.41414738,2.9351437,.11829162,.013992907,.11829162,4.8751917,-.52811909,.27890977,.52811909,3.1715124,-.88226008,.77838284,.88226008,3.5125129,-1.238498,1.5338773,1.238498,8.7241211,.073348045,.0053799357,.073348045,5.0822001,-.67881203,.46078578,.67881203,6.2653699,.055743694,.0031073594,.055743694,5.309866,-1.7981434,3.2333195,1.7981434,7.0303292,-.36133862,.1305656,.36133862
