Week,amoxicillin
01/04/2004,40
01/11/2004,31
01/18/2004,30
01/25/2004,29
02/01/2004,21
02/08/2004,26
02/15/2004,26
02/22/2004,29
02/29/2004,33
03/07/2004,32
03/14/2004,29
03/21/2004,30
03/28/2004,27
04/04/2004,27
04/11/2004,29
04/18/2004,30
04/25/2004,28
05/02/2004,31
05/09/2004,21
05/16/2004,27
05/23/2004,24
05/30/2004,32
06/06/2004,25
06/13/2004,24
06/20/2004,24
06/27/2004,29
07/04/2004,25
07/11/2004,21
07/18/2004,30
07/25/2004,21
08/01/2004,19
08/08/2004,24
08/15/2004,19
08/22/2004,26
08/29/2004,24
09/05/2004,34
09/12/2004,25
09/19/2004,26
09/26/2004,24
10/03/2004,25
10/10/2004,25
10/17/2004,26
10/24/2004,25
10/31/2004,30
11/07/2004,23
11/14/2004,38
11/21/2004,33
11/28/2004,28
12/05/2004,36
12/12/2004,30
12/19/2004,41
12/26/2004,40
01/02/2005,31
01/09/2005,30
01/16/2005,34
01/23/2005,39
01/30/2005,35
02/06/2005,43
02/13/2005,40
02/20/2005,47
02/27/2005,35
03/06/2005,42
03/13/2005,41
03/20/2005,38
03/27/2005,40
04/03/2005,33
04/10/2005,37
04/17/2005,30
04/24/2005,35
05/01/2005,31
05/08/2005,34
05/15/2005,35
05/22/2005,28
05/29/2005,38
06/05/2005,34
06/12/2005,27
06/19/2005,25
06/26/2005,31
07/03/2005,31
07/10/2005,22
07/17/2005,24
07/24/2005,30
07/31/2005,31
08/07/2005,28
08/14/2005,25
08/21/2005,23
08/28/2005,26
09/04/2005,31
09/11/2005,31
09/18/2005,33
09/25/2005,30
10/02/2005,36
10/09/2005,25
10/16/2005,28
10/23/2005,27
10/30/2005,29
11/06/2005,40
11/13/2005,32
11/20/2005,38
11/27/2005,31
12/04/2005,33
12/11/2005,28
12/18/2005,42
12/25/2005,46
01/01/2006,41
01/08/2006,34
01/15/2006,40
01/22/2006,39
01/29/2006,36
02/05/2006,38
02/12/2006,40
02/19/2006,40
02/26/2006,44
03/05/2006,35
03/12/2006,36
03/19/2006,40
03/26/2006,36
04/02/2006,34
04/09/2006,34
04/16/2006,29
04/23/2006,32
04/30/2006,32
05/07/2006,28
05/14/2006,34
05/21/2006,31
