# Google Correlate
# Copyright  Google Inc.
#
# Exported data may be used for any purpose, subject to the Google Correlate Terms of Service (http://correlate.googlelabs.com/tos).
#
# If you choose to use the data, please attribute it to Google as follows: "Data Source: Google Correlate (http://correlate.googlelabs.com)".
#
# Each week begins on the Sunday (Pacific Time) indicated for the row
#
# Source: http://www.google.com/trends/correlate/csv?e=id%3AAwRHFrYU3u1&t=weekly&p=us

Date,cdcflu,influenza type a,flu duration,flu fever,treating flu,braun thermoscan,fever flu,flu recovery,flu vs. cold,cold or flu,treating the flu,oscillococcinum,flu versus cold,flu remedies,cold versus flu,human temperature,contagious flu,type a influenza,flu or cold,flu contagious,thermoscan,flu cough,influenza incubation period,duration of flu,cold vs flu,influenza a,low body temperature,flu headache,flu complications,flu stomach,cold and flu symptoms,flu and fever,cold vs. flu,treatment for flu,treatment of flu,ear thermometer,how long does the flu last?,flu in children,influenza incubation,flu length,length of flu,type a flu,getting over the flu,treat flu,robitussin ac,treatment for the flu,influenza symptoms,what is influenza,flu care,expectorant,cold symptoms,flu type a,tussionex,low body temp,flu and cold,a influenza,influenza treatment,body temperature,flu how long,bacterial pneumonia,flu medicine,cough flu,influenza contagious,flu contagious period,viral pneumonia,normal body,fighting the flu,flu relief,feed a fever,dangerous fever,anas barbariae hepatis,flu vs cold,rapid flu,flu children,how to treat the flu,flu treatment,flu dizziness,flu in kids,taking temperature,cold or flu?,flu activity,flu in infants,viral bronchitis,treat the flu,tylenol cold,flu relapse,flu report,symptoms flu,anas barbariae,flu remedy,flu chills,tussin,how to treat flu,flu vomiting,child flu,flu germs,cold flu symptoms,common cold symptoms,what is influenza a,influenza a and b,how to get over the flu
2004-01-04,0.997,1.617,1.463,2.238,2.121,4.007,3.502,0.790,1.729,0.871,2.305,1.238,2.134,1.879,2.736,0.095,-0.629,0.805,2.096,0.371,2.917,-0.528,2.636,-0.656,0.339,0.276,3.703,2.151,2.154,-0.854,1.074,-0.704,2.653,-0.772,-0.613,1.956,-0.672,0.140,3.529,-0.546,-0.545,0.088,-0.646,-0.725,-0.140,-0.688,1.513,0.196,2.556,0.265,0.553,-0.464,1.757,-0.320,1.531,0.531,-1.106,1.410,-0.572,1.204,0.977,-0.583,1.828,0.672,0.802,-0.003,-0.602,0.698,0.681,0.938,2.836,-0.205,-0.651,1.905,0.506,0.321,-0.471,-0.579,-0.776,2.384,0.658,1.121,1.574,0.257,-0.128,-0.424,0.756,2.735,2.102,1.847,-0.507,1.612,-0.622,-0.776,-0.691,-0.553,3.025,0.428,-0.424,0.467,-0.678
2004-01-11,0.331,0.284,0.420,0.287,1.979,0.847,1.008,-0.685,-0.725,0.177,0.694,0.535,1.611,0.225,-0.862,-0.193,-0.629,-0.556,-0.179,-0.119,1.893,0.570,-0.584,-0.656,0.178,-0.127,2.017,-0.645,-0.481,-0.854,-1.134,-0.704,2.282,0.522,-0.613,1.101,-0.672,-0.220,-0.622,-0.546,-0.545,-0.465,-0.646,-0.725,-0.022,-0.688,1.016,1.592,-0.650,0.181,-0.277,-0.464,0.110,-0.113,0.520,0.087,0.636,0.531,-0.572,0.259,-0.064,2.988,-0.566,-0.467,1.577,-0.793,-0.602,-1.085,-0.934,-1.511,-0.947,-0.216,-0.651,1.442,-0.684,-0.061,-0.471,-0.579,0.529,-0.873,1.059,-0.519,-0.146,-0.217,-0.851,-0.424,-0.433,2.540,0.572,0.649,-0.507,-0.430,-0.622,-0.776,1.176,-0.553,-1.031,-0.531,-0.424,-0.614,-0.678
2004-01-18,0.147,-0.087,-0.009,0.509,1.574,1.592,2.310,-0.685,-0.725,0.091,-0.764,0.300,-0.684,0.006,-0.862,-0.980,-0.629,-0.556,-0.043,-0.204,1.958,0.742,-0.584,-0.656,-0.030,-0.360,1.273,-0.645,-0.481,2.738,-1.134,-0.704,1.681,-0.772,-0.613,0.428,-0.672,-0.517,0.495,-0.546,-0.545,-0.465,-0.646,-0.725,-0.618,-0.688,0.147,1.089,-0.650,-0.426,-0.249,-0.464,-0.041,0.082,0.102,-0.611,-1.106,0.467,-0.572,1.124,-0.380,-0.583,-0.566,-0.467,0.462,-0.930,-0.602,-1.085,-0.563,-1.511,1.727,-0.300,-0.651,-0.591,-0.684,-0.067,-0.471,-0.579,-0.274,-0.873,-0.774,-0.519,-0.900,-0.708,-0.645,-0.424,-0.276,0.926,2.132,0.504,-0.507,0.494,-0.622,-0.776,-0.691,-0.553,2.791,-0.268,-0.424,-0.614,-0.678
2004-01-25,0.053,-0.631,-0.742,0.473,-0.723,1.615,1.256,0.472,1.201,-0.526,-0.764,-0.292,-0.684,-0.227,-0.862,-0.151,-0.629,-0.556,0.347,-0.413,2.125,-0.528,-0.584,-0.656,0.010,-0.430,1.028,-0.645,-0.481,1.639,-1.134,-0.704,1.048,-0.772,-0.613,0.096,-0.672,-0.001,-0.622,-0.546,-0.545,-0.465,-0.646,-0.725,-1.512,-0.688,-0.278,-0.996,-0.650,-0.209,-0.339,-0.464,-0.489,-0.839,0.203,-0.611,0.333,0.193,-0.572,1.480,-0.142,-0.583,-0.566,-0.467,-0.112,-0.836,-0.602,0.595,-0.673,-1.511,-0.947,-0.156,-0.651,1.564,-0.684,-0.359,-0.471,-0.579,-0.519,-0.873,-0.774,-0.519,0.726,-0.140,-0.584,-0.424,0.021,2.148,-1.015,-0.047,-0.507,0.450,-0.622,2.883,-0.691,-0.553,1.622,-1.108,-0.424,-0.614,-0.678
2004-02-01,-0.215,-0.169,-0.101,-0.759,-0.723,1.834,-0.986,-0.685,-0.725,-0.339,0.289,-0.089,-0.684,-0.130,-0.862,0.304,-0.629,-0.556,-0.027,-0.538,2.710,-0.528,1.072,-0.656,-0.284,-0.395,0.684,-0.645,-0.481,-0.854,-1.134,-0.704,0.557,-0.772,-0.613,-0.401,-0.672,-0.517,1.200,-0.546,-0.545,-0.465,-0.646,-0.725,-0.580,-0.688,0.127,-0.996,-0.650,-0.419,-0.547,-0.464,-0.668,-0.747,-0.980,-0.611,-1.106,-0.088,-0.572,1.816,-0.368,-0.583,-0.566,-0.467,0.775,-0.830,-0.602,-1.085,-0.616,-1.511,-0.947,-0.700,-0.651,0.642,-0.684,-0.430,-0.471,-0.579,-1.032,-0.873,-0.774,-0.519,-2.370,-0.708,-0.689,-0.424,-0.101,-1.185,-1.015,0.534,-0.507,-0.557,-0.622,-0.776,-0.691,-0.553,-1.031,-0.518,-0.424,-0.614,-0.678
2004-02-08,-0.284,-0.631,-0.742,-0.759,-0.723,0.211,-0.986,-0.685,-0.725,-0.394,-0.764,-0.396,-0.684,-0.339,-0.862,0.097,-0.629,0.233,0.329,-0.475,0.509,0.341,-0.584,-0.656,-0.574,-0.444,0.137,-0.645,-0.481,-0.854,1.257,-0.704,-0.908,-0.772,-0.613,-0.410,-0.672,-0.517,-0.622,-0.546,-0.545,-0.465,-0.646,-0.725,-0.567,-0.688,0.101,-0.996,-0.650,-0.456,-0.310,-0.464,0.054,-0.867,-0.074,0.052,-1.106,-0.594,-0.572,0.267,-0.577,-0.583,-0.566,-0.467,0.645,-0.622,-0.602,-1.085,-0.763,-1.511,1.247,-0.700,-0.651,0.374,-0.684,-0.500,-0.471,-0.579,-2.225,1.645,-0.774,-0.519,0.914,-0.708,-0.469,-0.424,-0.146,-1.185,1.094,0.812,-0.507,-0.145,-0.622,-0.776,-0.691,-0.553,2.105,0.845,-0.424,-0.614,-0.678
2004-02-15,-0.346,0.067,0.063,-0.759,-0.723,0.073,-0.986,-0.685,1.941,-0.320,-0.764,-0.454,-0.684,-0.088,-0.862,1.136,-0.629,-0.556,-0.896,-0.417,1.140,0.518,-0.584,-0.656,-0.446,-0.503,1.972,-0.645,-0.481,-0.854,0.580,-0.704,-0.908,-0.772,-0.613,0.060,-0.672,-0.517,-0.622,-0.546,-0.545,-0.465,-0.646,-0.725,-0.697,-0.688,-0.285,-0.996,1.837,-0.623,-0.182,-0.464,-0.271,-0.444,-0.980,-0.611,-1.106,0.613,-0.572,-0.102,-0.660,-0.583,-0.566,-0.467,1.615,-0.676,-0.602,-1.085,0.259,-1.511,-0.947,-0.700,-0.651,0.959,-0.684,-0.521,-0.471,-0.579,-0.538,1.655,-0.774,-0.519,-0.957,-0.708,-0.568,-0.424,-0.375,0.083,-1.015,0.318,-0.507,-0.132,-0.622,-0.776,-0.691,-0.553,-1.031,0.067,-0.424,-0.614,-0.678
2004-02-22,-0.531,-0.631,-0.742,-0.182,-0.723,1.130,-0.986,-0.685,-0.725,-0.654,0.477,-0.487,-0.684,0.215,-0.862,0.397,-0.629,0.269,-0.184,-0.462,1.963,-0.528,-0.584,-0.656,-0.228,-0.484,0.617,-0.645,-0.481,-0.854,-1.134,-0.704,-0.908,-0.772,-0.613,0.191,-0.672,-0.517,-0.622,-0.546,-0.545,-0.465,-0.646,-0.725,-0.329,-0.688,0.067,0.128,-0.650,0.488,-0.247,-0.464,-0.547,-0.565,-0.168,0.197,-1.106,-0.260,-0.572,1.227,-0.380,-0.583,-0.566,-0.467,1.296,-1.106,-0.602,-1.085,-0.562,-1.511,-0.947,-0.700,-0.651,-0.591,-0.684,-0.368,-0.471,-0.579,-1.249,-0.873,-0.774,-0.519,0.083,-0.708,-0.461,-0.424,-0.839,-1.185,-1.015,-0.017,-0.507,-0.217,-0.622,-0.776,-0.691,-0.553,-1.031,0.554,-0.424,-0.614,-0.678
2004-02-29,-0.611,-0.631,-0.742,-0.759,-0.723,0.782,-0.986,-0.685,-0.725,-0.660,-0.764,-0.281,-0.684,-0.065,-0.862,-1.665,-0.629,-0.556,-0.896,-0.760,0.045,-0.528,-0.584,-0.656,-0.366,-0.466,1.111,-0.645,-0.481,-0.854,-1.134,-0.704,-0.908,-0.772,-0.613,-0.174,-0.672,-0.517,-0.622,-0.546,-0.545,-0.465,-0.646,-0.725,-1.035,-0.688,-0.369,-0.996,-0.650,0.246,-0.746,-0.464,0.671,0.013,-0.980,-0.611,-1.106,-0.214,-0.572,0.591,-0.412,-0.583,-0.566,-0.467,0.861,-0.827,-0.602,-1.085,-0.049,-1.511,-0.947,-0.700,-0.651,-0.591,-0.684,-0.487,-0.471,-0.579,-2.225,-0.873,-0.774,-0.519,0.350,-0.708,-0.861,-0.424,-0.839,1.325,-1.015,0.180,-0.507,0.487,-0.622,-0.776,-0.691,-0.553,-1.031,-0.472,-0.424,-0.614,-0.678
2004-03-07,-0.581,-0.631,-0.742,-0.759,-0.723,2.133,-0.986,-0.685,-0.725,-0.494,-0.764,-0.476,-0.684,-0.606,-0.862,-1.567,-0.629,-0.556,-0.896,-0.558,1.385,-0.528,-0.584,-0.656,-0.892,-0.481,1.467,-0.645,-0.481,-0.854,2.489,-0.704,-0.908,-0.772,-0.613,0.644,-0.672,-0.517,-0.622,-0.546,-0.545,-0.465,-0.646,-0.725,-2.628,-0.688,-0.536,-0.996,-0.650,0.424,-0.709,-0.464,-0.030,-0.534,0.942,-0.611,-1.106,-0.631,-0.572,1.092,-1.041,-0.583,-0.566,-0.467,1.016,-1.545,-0.602,-1.085,-0.927,-1.511,-0.947,-0.700,-0.651,-0.591,-0.684,-0.854,-0.471,-0.579,0.549,-0.873,-0.774,-0.519,0.118,-0.708,-1.285,-0.424,-0.839,1.494,-1.015,0.263,-0.507,-0.085,-0.622,-0.776,-0.691,-0.553,-1.031,-1.772,-0.424,-0.614,-0.678
