week,fever,flu,sdate
01/04/2004,2,2,04jan2004
01/11/2004,2,1,11jan2004
01/18/2004,2,1,18jan2004
01/25/2004,2,2,25jan2004
02/01/2004,2,1,01feb2004
02/08/2004,2,2,08feb2004
02/15/2004,2,1,15feb2004
02/22/2004,2,1,22feb2004
02/29/2004,2,1,29feb2004
03/07/2004,2,1,07mar2004
03/14/2004,2,1,14mar2004
03/21/2004,2,1,21mar2004
03/28/2004,2,0,28mar2004
04/04/2004,2,0,04apr2004
04/11/2004,2,1,11apr2004
04/18/2004,2,0,18apr2004
04/25/2004,2,0,25apr2004
05/02/2004,2,0,02may2004
05/09/2004,2,0,09may2004
05/16/2004,2,0,16may2004
05/23/2004,2,0,23may2004
05/30/2004,2,0,30may2004
06/06/2004,1,0,06jun2004
06/13/2004,1,0,13jun2004
06/20/2004,1,0,20jun2004
06/27/2004,1,0,27jun2004
07/04/2004,2,0,04jul2004
07/11/2004,2,0,11jul2004
07/18/2004,1,0,18jul2004
07/25/2004,2,0,25jul2004
08/01/2004,2,0,01aug2004
08/08/2004,1,0,08aug2004
08/15/2004,1,0,15aug2004
08/22/2004,1,1,22aug2004
08/29/2004,1,1,29aug2004
09/05/2004,1,1,05sep2004
09/12/2004,1,1,12sep2004
09/19/2004,1,1,19sep2004
09/26/2004,1,1,26sep2004
10/03/2004,2,6,03oct2004
10/10/2004,1,8,10oct2004
10/17/2004,2,7,17oct2004
10/24/2004,2,5,24oct2004
10/31/2004,1,3,31oct2004
11/07/2004,1,2,07nov2004
11/14/2004,2,2,14nov2004
11/21/2004,2,2,21nov2004
11/28/2004,2,2,28nov2004
12/05/2004,2,2,05dec2004
12/12/2004,2,2,12dec2004
12/19/2004,1,2,19dec2004
12/26/2004,2,2,26dec2004
01/02/2005,2,2,02jan2005
01/09/2005,2,2,09jan2005
01/16/2005,2,2,16jan2005
01/23/2005,2,2,23jan2005
01/30/2005,2,2,30jan2005
02/06/2005,2,2,06feb2005
02/13/2005,2,2,13feb2005
02/20/2005,2,3,20feb2005
02/27/2005,2,2,27feb2005
03/06/2005,2,1,06mar2005
03/13/2005,2,1,13mar2005
03/20/2005,2,1,20mar2005
03/27/2005,2,1,27mar2005
04/03/2005,3,1,03apr2005
04/10/2005,3,1,10apr2005
04/17/2005,2,1,17apr2005
04/24/2005,2,1,24apr2005
05/01/2005,2,1,01may2005
05/08/2005,2,1,08may2005
05/15/2005,2,1,15may2005
05/22/2005,2,1,22may2005
05/29/2005,2,0,29may2005
06/05/2005,2,0,05jun2005
06/12/2005,2,0,12jun2005
06/19/2005,2,0,19jun2005
06/26/2005,2,0,26jun2005
07/03/2005,2,0,03jul2005
07/10/2005,2,0,10jul2005
07/17/2005,1,0,17jul2005
07/24/2005,2,1,24jul2005
07/31/2005,2,0,31jul2005
08/07/2005,2,1,07aug2005
08/14/2005,1,1,14aug2005
08/21/2005,2,1,21aug2005
08/28/2005,2,1,28aug2005
09/04/2005,2,1,04sep2005
09/11/2005,2,1,11sep2005
09/18/2005,2,2,18sep2005
09/25/2005,2,3,25sep2005
10/02/2005,2,6,02oct2005
10/09/2005,2,8,09oct2005
10/16/2005,2,7,16oct2005
10/23/2005,2,6,23oct2005
10/30/2005,2,8,30oct2005
11/06/2005,2,6,06nov2005
