Week,robitussin
01/04/2004,40
01/11/2004,34
01/18/2004,36
01/25/2004,44
02/01/2004,43
02/08/2004,26
02/15/2004,26
02/22/2004,35
02/29/2004,26
03/07/2004,31
03/14/2004,36
03/21/2004,35
03/28/2004,22
04/04/2004,30
04/11/2004,20
04/18/2004,31
04/25/2004,21
05/02/2004,21
05/09/2004,13
05/16/2004,25
05/23/2004,31
05/30/2004,18
06/06/2004,25
06/13/2004,17
06/20/2004,24
06/27/2004,15
07/04/2004,14
07/11/2004,18
07/18/2004,25
07/25/2004,23
08/01/2004,19
08/08/2004,19
08/15/2004,24
08/22/2004,19
08/29/2004,21
09/05/2004,24
09/12/2004,25
09/19/2004,29
09/26/2004,29
10/03/2004,30
10/10/2004,36
10/17/2004,22
10/24/2004,31
10/31/2004,28
11/07/2004,28
11/14/2004,40
11/21/2004,27
11/28/2004,33
12/05/2004,38
12/12/2004,39
12/19/2004,46
12/26/2004,54
01/02/2005,45
01/09/2005,31
01/16/2005,54
01/23/2005,51
01/30/2005,51
02/06/2005,52
02/13/2005,45
02/20/2005,51
02/27/2005,46
03/06/2005,37
03/13/2005,31
03/20/2005,32
03/27/2005,31
04/03/2005,39
04/10/2005,37
04/17/2005,23
04/24/2005,29
05/01/2005,25
05/08/2005,25
05/15/2005,23
05/22/2005,26
05/29/2005,27
06/05/2005,18
06/12/2005,17
06/19/2005,28
06/26/2005,18
07/03/2005,21
07/10/2005,19
07/17/2005,27
07/24/2005,17
07/31/2005,18
08/07/2005,23
08/14/2005,18
08/21/2005,20
08/28/2005,23
09/04/2005,15
09/11/2005,18
09/18/2005,28
09/25/2005,26
10/02/2005,31
10/09/2005,32
10/16/2005,33
10/23/2005,30
10/30/2005,30
11/06/2005,32
11/13/2005,34
11/20/2005,39
11/27/2005,39
12/04/2005,30
12/11/2005,43
12/18/2005,49
12/25/2005,42
01/01/2006,49
01/08/2006,45
01/15/2006,43
01/22/2006,34
01/29/2006,39
02/05/2006,30
02/12/2006,39
02/19/2006,36
02/26/2006,40
03/05/2006,38
03/12/2006,32
03/19/2006,24
03/26/2006,20
04/02/2006,30
04/09/2006,28
04/16/2006,27
04/23/2006,27
04/30/2006,23
05/07/2006,21
05/14/2006,21
05/21/2006,18
05/28/2006,20
06/04/2006,25
06/11/2006,20
06/18/2006,16
06/25/2006,17
07/02/2006,18
07/09/2006,13
07/16/2006,16
07/23/2006,17
07/30/2006,15
08/06/2006,16
08/13/2006,14
08/20/2006,13
08/27/2006,21
09/03/2006,16
09/10/2006,27
09/17/2006,28
09/24/2006,34
10/01/2006,25
10/08/2006,24
10/15/2006,28
10/22/2006,31
10/29/2006,31
11/05/2006,31
11/12/2006,27
11/19/2006,29
11/26/2006,36
12/03/2006,32
12/10/2006,34
12/17/2006,37
12/24/2006,44
12/31/2006,48
01/07/2007,44
01/14/2007,37
01/21/2007,41
01/28/2007,43
02/04/2007,39
02/11/2007,44
02/18/2007,35
02/25/2007,33
03/04/2007,39
03/11/2007,24
03/18/2007,32
03/25/2007,28
04/01/2007,27
04/08/2007,24
04/15/2007,25
04/22/2007,24
04/29/2007,24
05/06/2007,21
05/13/2007,21
05/20/2007,22
05/27/2007,20
06/03/2007,22
06/10/2007,16
06/17/2007,17
06/24/2007,15
07/01/2007,15
07/08/2007,16
07/15/2007,18
07/22/2007,14
07/29/2007,16
08/05/2007,17
08/12/2007,19
08/19/2007,21
08/26/2007,19
09/02/2007,19
09/09/2007,23
09/16/2007,28
09/23/2007,28
09/30/2007,34
10/07/2007,30
10/14/2007,37
10/21/2007,26
10/28/2007,38
11/04/2007,35
11/11/2007,41
11/18/2007,31
11/25/2007,27
12/02/2007,30
12/09/2007,30
12/16/2007,35
12/23/2007,41
12/30/2007,48
01/06/2008,33
01/13/2008,35
01/20/2008,41
01/27/2008,39
02/03/2008,44
02/10/2008,44
02/17/2008,44
02/24/2008,44
03/02/2008,40
03/09/2008,34
03/16/2008,33
03/23/2008,31
03/30/2008,27
04/06/2008,26
04/13/2008,28
04/20/2008,21
04/27/2008,22
05/04/2008,25
05/11/2008,18
05/18/2008,19
05/25/2008,18
06/01/2008,16
06/08/2008,16
06/15/2008,19
06/22/2008,18
06/29/2008,18
07/06/2008,17
07/13/2008,18
07/20/2008,17
07/27/2008,14
08/03/2008,12
08/10/2008,14
08/17/2008,15
08/24/2008,20
08/31/2008,21
09/07/2008,32
09/14/2008,26
09/21/2008,31
09/28/2008,27
10/05/2008,28
10/12/2008,33
10/19/2008,37
10/26/2008,28
11/02/2008,31
11/09/2008,33
11/16/2008,33
11/23/2008,33
11/30/2008,37
12/07/2008,41
12/14/2008,37
12/21/2008,48
12/28/2008,46
01/04/2009,39
01/11/2009,43
01/18/2009,31
01/25/2009,40
02/01/2009,40
02/08/2009,48
02/15/2009,41
02/22/2009,48
03/01/2009,42
03/08/2009,40
03/15/2009,29
03/22/2009,33
03/29/2009,29
04/05/2009,31
04/12/2009,31
04/19/2009,31
04/26/2009,27
05/03/2009,30
05/10/2009,28
05/17/2009,25
05/24/2009,28
05/31/2009,24
06/07/2009,22
06/14/2009,19
06/21/2009,24
06/28/2009,21
07/05/2009,22
07/12/2009,20
07/19/2009,21
07/26/2009,16
08/02/2009,17
08/09/2009,23
08/16/2009,23
08/23/2009,20
08/30/2009,29
09/06/2009,33
09/13/2009,34
09/20/2009,38
09/27/2009,43
10/04/2009,44
10/11/2009,43
10/18/2009,56
10/25/2009,56
11/01/2009,54
11/08/2009,50
11/15/2009,52
11/22/2009,41
11/29/2009,51
12/06/2009,42
12/13/2009,45
12/20/2009,45
12/27/2009,45
01/03/2010,42
01/10/2010,37
01/17/2010,37
01/24/2010,44
01/31/2010,36
02/07/2010,41
02/14/2010,39
02/21/2010,41
02/28/2010,43
03/07/2010,34
03/14/2010,33
03/21/2010,36
03/28/2010,31
04/04/2010,27
04/11/2010,32
04/18/2010,32
04/25/2010,28
05/02/2010,23
05/09/2010,27
05/16/2010,25
05/23/2010,23
05/30/2010,27
06/06/2010,25
06/13/2010,21
06/20/2010,22
06/27/2010,21
07/04/2010,19
07/11/2010,18
07/18/2010,21
07/25/2010,20
08/01/2010,17
08/08/2010,18
08/15/2010,22
08/22/2010,21
08/29/2010,24
09/05/2010,28
09/12/2010,34
09/19/2010,35
09/26/2010,34
10/03/2010,30
10/10/2010,35
10/17/2010,42
10/24/2010,42
10/31/2010,37
11/07/2010,43
11/14/2010,49
11/21/2010,49
11/28/2010,50
12/05/2010,64
12/12/2010,67
12/19/2010,62
12/26/2010,92
01/02/2011,100
01/09/2011,86
01/16/2011,83
01/23/2011,98
01/30/2011,79
02/06/2011,65
02/13/2011,58
02/20/2011,74
02/27/2011,56
